"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Tcea1",70218.3283695585,-0.221014071442966,0.0910251245499445,0.0126303896298009,0.0448133062854982,52561,92783,75164,78671,64192,66972
"Rb1cc1",14359.8241504926,-0.604139459442582,0.275042616734119,0.00519381488278588,0.0223220135841642,9241,12917,16757,17330,14879,8858
"Pcmtd1",6450.7152506731,-1.43000960614257,0.370041491632781,1.27865134941442e-06,2.40898833296236e-05,2613,3333,8201,8756,7708,2486
"Rrs1",32996.7181539723,-0.373898618546305,0.152607777161354,0.00802240652792926,0.0311868451027343,23352,36554,34076,37356,30135,25610
"Adhfe1",160.2372177005,0.699120675998987,0.285651365917985,0.00166270857675306,0.00888062561027379,148,297,108,84,112,234
"2610203C22Rik",789.56640174155,-0.793454308228198,0.143530035774933,2.35215231059535e-09,9.6521099414626e-08,438,662,875,965,729,502
"Mybl1",11140.138565218,-1.082401847685,0.344874483904693,3.62533323663896e-05,0.00039863457073457,5897,7211,16762,16028,13797,7109
"Vcpip1",23867.4535753907,-0.690205644194497,0.246209461633255,0.000635211097401051,0.00405842215155473,14304,21918,28761,29156,24110,14629
"Snord87",153.043735167951,-0.729566212936776,0.358357747406853,0.00390718320769348,0.0177490738046197,74,127,197,166,177,91
"Tcf24",7.58970867026782,-0.652298007838673,0.716905319385815,0.0143243161745947,0.0493618054009985,1,4,2,6,20,0
"Cspp1",4395.12483089466,-1.18762171678577,0.307504262517646,1.72562841292035e-06,3.12206231152087e-05,2190,2994,5819,5691,5154,1926
"Arfgef1",31571.9718464498,-0.887245432723567,0.2714609264122,4.8563742774419e-05,0.000502384372095111,19297,27976,41766,42514,35761,16513
"Ncoa2",22341.8991215682,-0.576054080549844,0.144347574289269,1.68791119791147e-05,0.000211685465962952,14774,23613,25786,27224,22124,16435
"Terf1",2617.99143412097,-0.567488025552386,0.242229973125065,0.00442373391711629,0.0196112635323491,1615,2867,3402,3182,2780,1956
"Rpl7",233557.822636451,0.25803664467394,0.105678343369742,0.0113222828828206,0.0410827045803539,198951,370415,212333,234862,186578,311002
"Rdh10",3395.28983653148,-0.495170883167749,0.111889462184657,3.70840105201551e-06,6.00474607410913e-05,2358,4139,3931,4140,3484,2675
"Eloc",20446.117867439,-0.712143468955488,0.202368908717149,5.01278552728454e-05,0.000515260292753086,13149,18735,24159,25867,21501,13233
"Tmem70",8943.65319432573,-0.346035034957952,0.14784918804036,0.0117692627418563,0.0423746000058351,6670,11025,9896,10440,8948,7722
"Tram2",388.158279699552,-0.648270968714034,0.247126909420568,0.00135431036232004,0.00754207849310074,250,401,452,541,414,248
"Gsta3",1018.57024158454,1.4045224846474,0.267863953079032,2.06259037725318e-09,8.5475212688976e-08,936,1500,413,394,246,1036
"LOC118567721",388.499556989202,-1.13406636405361,0.448648141036897,0.000222099026394078,0.00173692596599962,171,234,508,443,460,128
"Ogfrl1",5109.46551791784,-0.521662388469131,0.217061719439509,0.00480514725338102,0.0209522006147113,2779,4140,4189,4816,4185,2545
"Fam135a",8559.17016781242,-0.620613348420063,0.314198418237414,0.0078040966187592,0.030553417102084,4871,6176,8378,9084,7673,3833
"Phf3",29008.1128546779,-0.800528069443178,0.20843267721109,8.57352315593394e-06,0.000119374639479933,17467,26696,36151,37057,31714,18369
"Rab23",12425.7877089101,-0.504083630672236,0.112429963983383,2.72499796408549e-06,4.62227076146386e-05,7659,12765,12911,13739,11253,9291
"Zfp451",12011.4324354559,-0.464430623403838,0.150506667750668,0.000842120430951817,0.00511986758962849,7976,12957,13345,13645,11198,9239
"Dst",65682.8915322391,-0.994205208341964,0.250490484154479,1.9340631462691e-06,3.42528463801663e-05,32613,52382,78949,76331,71848,31560
"4930568A12Rik",22.1591449557985,1.40776744240609,0.483752062611541,3.80222443547039e-05,0.000413863487861215,33,76,10,16,12,54
"Gm32790",224.555474026309,-0.735793576459506,0.231925639134861,0.000150522293818494,0.00126201598523791,133,168,234,240,252,139
"Gm33222",9.50884906292153,1.08885032965552,0.864952649918374,0.00163908959703439,0.00879029917141026,14,28,5,0,0,14
"Gm39624",40.0966471489443,0.736211506918948,0.455316038119752,0.00864153832432345,0.0331501732009654,48,67,14,30,15,48
"Hs6st1",53837.9094073383,0.620407805153902,0.160569957319196,2.23215909619284e-05,0.000265190618062706,58450,96525,44710,47809,37136,83594
"Gm33280",988.986087295893,0.766566817078051,0.348155027668085,0.00220689359928763,0.0111913789319135,935,1879,579,621,507,1415
"Neurl3",7314.08896814909,1.06684564648173,0.292096086579354,5.5298589954263e-06,8.30033022727946e-05,7061,11702,2888,4011,3226,8993
"Arid5a",3961.29759270518,1.581992882614,0.234440890452075,2.85147690514478e-13,2.56620683364724e-11,4610,7946,1586,1985,1660,6730
"Lman2l",29629.530834321,0.339733509655622,0.114656273332866,0.00195803895976293,0.0101128371791302,27746,47252,26308,28577,23398,40098
"Ankrd39",4303.57249564324,0.317270923297945,0.133610726330874,0.0117267793709576,0.0422506592147095,3872,6595,3901,4084,3179,5755
"Sema4c",23340.8222233716,0.64114763762847,0.223591003052126,0.000686860822046388,0.00433166453458367,23330,39698,16264,17901,14351,32459
"Fam178b",943.671465394246,0.513762056418989,0.235174873404023,0.00857397678222852,0.0329432751797656,801,1471,695,850,609,1638
"Cox5b",89654.7023477314,0.442681069851057,0.128466187878366,0.000263288714964452,0.00199365711028229,82644,134918,71761,82655,64133,129142
"Tmem131",48998.4254343962,-0.508583855001545,0.145969121182378,0.000172362182422447,0.00141847040942554,32630,53847,49840,56471,48643,32793
"Cnga3",1009.37384418476,1.08804348647944,0.292102771765609,3.8730991992013e-06,6.21307388124584e-05,970,1604,498,449,369,1080
"Mgat4a",2091.40307470511,-0.622397141131541,0.258822661261726,0.00281441803958031,0.0136420554489042,1232,2196,2434,2708,2249,1377
"Mitd1",3105.43661595527,-0.524228316517957,0.221909103682149,0.00526755699403238,0.0225741677105794,2093,3427,3941,4095,3305,2608
"Mrpl30",48615.6897049149,0.270727678459962,0.100412939909211,0.0053233194211417,0.0227619667499837,42268,72383,43356,46142,37759,62503
"Eif5b",67268.3300637405,-1.07127227561494,0.228715898825379,5.44885956170788e-08,1.59577005795325e-06,35249,55114,89620,94845,78961,39715
"Rev1",18021.1815947405,-0.780719775876033,0.167553323930524,2.49081836629499e-07,5.94874377253299e-06,10700,17680,21278,22739,18950,11040
"Creg2",1787.3999603955,-1.04108941792383,0.155539943836556,4.27779557932803e-13,3.73754564595539e-11,1112,1636,2560,2790,2351,1295
"Rfx8",45.7634102125066,0.703496082072054,0.424931978706452,0.00948114840472843,0.0356610225827355,60,97,31,26,33,83
