"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm26206",0,NA,NA,NA,NA
"Xkr4",2.09126310121349,-0.0115957740896687,0.157017135253138,0.0858909177764562,NA
"LOC118567655",0,NA,NA,NA,NA
"Rp1",0,NA,NA,NA,NA
"Sox17",0,NA,NA,NA,NA
"Gm22307",3.90116935635745,0.00172680702119882,0.155631633346876,0.916691652314269,NA
"Gm37323",2.32703001646682,-0.010151678018438,0.15668125409304,0.280469599539653,NA
"Gm39586",0,NA,NA,NA,NA
"Gm46082",7.79455287182737,0.0130326970403999,0.155062195144884,0.613946597284794,0.882759156053676
"Gm29874",0.162188370265155,0.0030164267285396,0.156425427259905,0.829882553921128,NA
"Mrpl15",39652.1293114105,-0.154273982579754,0.191639400007998,0.106243699327316,0.559311534807387
"Lypla1",27142.6445539274,-0.0427969480858375,0.118329214124701,0.570284640234918,0.868381305180243
"LOC118567656",32.8906918947772,-0.00162171244802293,0.150109354867737,0.967134937454383,0.991983571456322
"Tcea1",69671.1991931502,-0.0104022716675013,0.114347470986537,0.879789910211741,0.969136893318764
"Rgs20",1703.04862860328,-0.119580692184914,0.154253767638966,0.171573289596683,0.643017235342994
"Gm16041",0,NA,NA,NA,NA
"Atp6v1h",47481.5199389868,0.00951407896804807,0.115056089266807,0.847416576133889,0.958771173837655
"Oprk1",0,NA,NA,NA,NA
"Npbwr1",19.2662890830289,0.003191130711711,0.155449442907621,0.860534923637267,0.962391968665136
"Gm46206",2.13903231771011,0.00792770501340742,0.156293871904532,0.511110361442268,NA
"Rb1cc1",11579.7205237643,0.0527208591730374,0.152657884070544,0.41951270766671,0.808909272160953
"Alkal1",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA
"St18",58.5204860159675,0.00134906635488062,0.15571507292276,0.936923414569636,0.984827422715623
"Pcmtd1",3703.42955962373,0.0986129407152101,0.18604641776403,0.0961927299132713,0.540568197029155
"Gm23274",0,NA,NA,NA,NA
"Gm26901",72.2312714619937,0.0471937078378562,0.152106602326355,0.425140368222312,0.812071388442225
"Gm39589",0,NA,NA,NA,NA
"Sntg1",0.569650068769145,-0.00433600413575426,0.15649474475781,0.503191304400476,NA
"Gm30719",0,NA,NA,NA,NA
"Gm24765",0,NA,NA,NA,NA
"Rrs1",29399.6766698465,0.0298154685308499,0.127741752965258,0.703043206023429,0.914636472956663
"Adhfe1",216.587452584769,-0.0177233337462349,0.140320749333523,0.77665028682051,0.938194061387022
"2610203C22Rik",601.125585513089,0.129752787770947,0.164926030726651,0.148046431837659,0.614284029651571
"Vxn",6.01166929852073,-0.0214569720370641,0.157904934531457,0.172562038675872,0.644043047095494
"Mybl1",6832.52876099957,-0.00412789478511967,0.144550834756517,0.936758694349455,0.984827422715623
"Vcpip1",18723.2298584541,0.0584111844730078,0.150699529974782,0.386587267013708,0.793779038447922
"1700034P13Rik",52.0179361771528,-0.0259405291652194,0.151360825895903,0.579516913674435,0.870922391574162
"Gm39590",11.2342173186763,0.0050876069538171,0.153914087964846,0.85925143770237,0.961950436637086
"Sgk3",1.4176970035462,-0.00169817037680229,0.156257547162088,0.82482241971904,NA
"Gm6195",4.62690338713849,0.015165470884545,0.156134123358058,0.466709894867088,NA
"Mcmdc2",0,NA,NA,NA,NA
"Snhg6",5568.39821565041,0.0048727419552517,0.135105212043023,0.947297789794392,0.987821568290656
"Snord87",117.125616225214,0.0577730283100291,0.161576061756656,0.261286682738496,0.724016320710162
"Tcf24",3.44649602743197,0.0174764899424049,0.157209878758279,0.249049725774182,NA
"Ppp1r42",21.5879664080968,0.0349654269317312,0.158327207213923,0.299482649638013,0.749480770183731
"LOC115487608",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA
"Cops5",49136.9416462482,-0.0951631187366987,0.145285887565597,0.253834828799428,0.71701398477014
"Cspp1",2682.94847657665,0.0568550767833492,0.15354000033221,0.369336649618971,0.78621064622584
"Arfgef1",22486.0176756487,0.0272296343820717,0.142517491187915,0.6705150789202,0.904018467699904
"Cpa6",0.456296082320752,0.00164235949404468,0.156345602474472,0.837770865677156,NA
"Gm25253",0,NA,NA,NA,NA
"Prex2",0.701569410559588,-0.00506005721698736,0.156524102109352,0.424584049415733,NA
"Gm24173",0,NA,NA,NA,NA
"A830018L16Rik",3.0064400836068,-0.00990921840697755,0.156516678904567,0.380307783431322,NA
"Gm30898",0,NA,NA,NA,NA
"Gm30974",0,NA,NA,NA,NA
"Gm22633",2.33180419223836,-0.000471772243538148,0.156053984155203,0.96352923323133,NA
"Gm39591",0,NA,NA,NA,NA
"Mir6341",0,NA,NA,NA,NA
"Gm17644",0,NA,NA,NA,NA
"Sulf1",0,NA,NA,NA,NA
"Slco5a1",0,NA,NA,NA,NA
"Gm39592",0,NA,NA,NA,NA
"Prdm14",3.45267613339638,1.09901348636216e-05,0.155333689659448,0.998468683097441,NA
"Ncoa2",18833.4821972372,0.0392064927556874,0.126973352972287,0.678472708376836,0.906742265076611
"Gm23169",0.502528563563837,-0.001529034261554,0.156342969368432,0.807313289990188,NA
"Gm39595",37.3371578943133,-0.00432129774566287,0.152096497908839,0.901321618969499,0.976782974861444
