"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Gsta3",1018.57024158454,0.603421850042782,0.302662539005492,0.000428299162419608,0.0135010222836907,936,1935,1500,1838,1036,2797
"Ogfrl1",5109.46551791784,0.657139701983814,0.275784249908758,0.000126111610557817,0.00564045240641814,2779,5398,4140,4988,2545,7519
"Hs6st1",53837.9094073383,-0.359651586997477,0.168742991252485,0.0014946724170985,0.0318693551309361,58450,61991,96525,59245,83594,47692
"Cnnm4",10315.782728471,-0.318866782026719,0.0956399269517894,6.25485833791149e-05,0.00339276159047088,9776,9528,17239,12873,13204,9460
"Vwa3b",1206.29971800779,1.28959643704342,0.211540787975459,5.33145008952902e-11,3.88339016342659e-08,542,1864,1057,2215,622,1792
"Ecrg4",42.7483241284322,2.39004545223559,1.06157078956469,7.28221898353544e-06,0.000640176104177609,12,34,4,62,2,134
"Cavin2",10715.5833406621,0.923467940079733,0.381546239829839,7.47779355595737e-05,0.00388065138864505,4273,14582,7262,8184,3378,12012
"Gm17767",84.3680332848,1.03726010966339,0.386272833050102,3.50470552188507e-05,0.00218182041598853,35,134,69,99,43,138
"Aox1",1090.46507787091,0.527171552948992,0.306821840981815,0.00114985220536914,0.026940181454666,762,2204,1256,1274,902,1816
"Snord11",29.9840603624478,-1.43558003514847,0.602821229946379,3.28869423069334e-05,0.00211586494747605,20,2,57,14,44,13
"Ica1l",268.942780018946,0.50175561010658,0.206106975567858,0.000228719258533816,0.0086751265066919,211,340,288,398,202,433
"Zdbf2",7580.17416316655,0.967740549815717,0.727961619052495,0.000492791116755552,0.0151362572684179,2225,9426,2665,3464,835,11618
"Fzd5",2153.04201916061,0.40652122195927,0.20173381160996,0.00129814581954134,0.0291261650050007,765,1494,1217,1288,678,1343
"Gm23472",87.3673087244452,-0.964832913832781,0.507298390352995,0.000225915194743369,0.00861222504073086,85,24,171,102,178,38
"Gm24497",87.6893674877804,-0.863476336817594,0.563082157102895,0.000560382780074229,0.0164209867810544,77,20,178,105,190,35
"Tns1",5730.42884969609,0.864685126060505,0.424744708288493,0.00020614022833676,0.00806953926473747,3274,4765,5532,13763,2595,10525
"Rufy4",344.732590148741,1.37121458899846,0.330908117765994,4.7745769284123e-07,7.89201768823841e-05,166,311,259,831,130,652
"Cryba2",668.425664195509,-0.4178832343306,0.21140605385655,0.00129094250888638,0.0290925662637985,720,487,1114,914,1259,689
"Speg",4022.71424912151,0.306757931376179,0.134871313910408,0.00170522978489324,0.03502332473605,2920,4280,4852,5337,2999,5151
"Farsb",18204.8353611906,-0.352109940165717,0.12567128960748,0.000273502336941458,0.00983788388345863,17200,15875,30254,24031,24882,15061
"Scg2",14529.9354641126,-0.36838197391861,0.19657059137269,0.00243127595990745,0.0445115558369052,15439,12821,26644,15823,18278,12704
"Gm22786",17.2049783911145,-0.729442487639401,0.702994717225121,0.00139572828828248,0.0305810980808128,9,5,41,9,26,4
"Espnl",46.2382266782428,0.607623858224001,0.548662916318713,0.0024547665547237,0.0446953735203063,22,82,25,38,16,63
"9430060I03Rik",269.122886037272,-0.717201362776875,0.297360259587804,9.97697638212301e-05,0.00478777490149174,309,150,498,343,560,248
"Tfcp2l1",63.6473856643917,1.30634390084532,0.605079403876044,6.5244192357247e-05,0.0035109638604909,24,98,67,88,10,195
"Sctr",37.9098945228225,0.724923380234432,0.730466862853362,0.00139894559352663,0.0306131924677849,11,23,30,67,4,111
"Steap3",2271.38127668778,-0.395890547476015,0.226650589441619,0.00249930440884611,0.0451891076404401,1622,1425,2911,2390,2861,1085
"Cntn2",687.337790222647,-0.310884502986584,0.136606319496085,0.00163800619539864,0.0339826712896838,657,612,1070,791,819,554
"Plekha6",14518.8675128155,0.929296188014605,0.220783139666466,2.00678147244897e-07,3.82507552622399e-05,7135,12189,11366,21645,6981,20906
"Atp2b4",1336.56451530381,0.471594430241749,0.204638671009107,0.000395366219307405,0.0128809808990008,961,1443,1605,2284,978,2084
"Optc",1741.0668835329,0.884190754501281,0.117831109054009,6.33852896538423e-16,1.07728581874176e-12,1238,2805,1923,3787,1682,2910
"Prelp",145.577284523837,0.62727207695643,0.43882892012126,0.00141924823441274,0.0307857317715996,106,351,200,262,94,287
"Btg2",1242.21450285852,0.439206844433706,0.13214820424896,2.60684368260383e-05,0.00174890055614162,1002,1546,1618,2470,1302,1899
"Ptprv",660.918253019357,0.379414412305144,0.207897504989602,0.00244446701877709,0.0446298533550367,533,951,904,1093,611,1141
"Lad1",71.1489785379685,0.762998222232526,0.443241952829715,0.000517425652225294,0.0155700643846494,36,123,89,248,63,88
