"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.10_S2_Diff_S10","countData.11_F8P_Diff_S11","countData.12_S3_Diff_S12","countData.7_C1P_Diff_S7","countData.8_S1_Diff_S8","countData.9_F6_Diff_S9"
"Plekhb2:XM_006495898.3-1","Plekhb2","XM_006495898.3-1",86.5665305557016,0.00455921641171183,14.4422265140834,0.00014452513068765,0.0694799263496207,11.4544260869896,14.5324299388923,0.693840200561982,60,64,79,186,72,84
"Sema4c:NM_001304329.1-1","Sema4c","NM_001304329.1-1",147.508542877399,0.00306595008055767,13.6633971868989,0.000218675516649271,0.0892273928397586,15.3528434967478,18.2637759301379,0.50963067121942,103,99,139,211,136,219
"LOC118567738:XR_004936030.1-1","LOC118567738","XR_004936030.1-1",94.7685125085326,0.00922860662717818,18.7496381505155,1.49051637181844e-05,0.0147965044294337,14.9278713773465,11.9904629443213,-0.639258375243226,89,72,158,76,107,79
"LOC118567738:XR_004936030.1-2","LOC118567738","XR_004936030.1-2",234.388216907919,0.00604290227106528,23.3337939809384,1.36186102083963e-06,0.00249837217483889,19.8703263588841,22.2129249517137,0.33028745907175,152,293,252,210,227,280
"Mff:XM_036154165.1-3","Mff","XM_036154165.1-3",271.371460714132,0.00301323267965867,15.5901444369218,7.86635399123115e-05,0.0458382430903628,20.898170747645,24.2500738651001,0.442599288698168,187,301,282,321,230,330
"Ankmy1:XM_006529591.5-8","Ankmy1","XM_006529591.5-8",10.8033989599432,0.0485351134670106,15.7431814548722,7.2548962575669e-05,0.0433245778697971,2.65595752413705,5.69823065507131,2.20482366194002,3,5,4,16,3,35
"Gm41920:XR_878410.2-1","Gm41920","XR_878410.2-1",18.7428558944225,0.0437493860781351,30.4805792199493,3.37225549911109e-08,0.000120830022192837,4.79679047510206,7.21997317203542,1.1824365566457,10,24,13,18,17,30
"Gm41920:XR_878410.2-2","Gm41920","XR_878410.2-2",10.6611804618796,0.0626975908524416,26.5780728988944,2.53100070567109e-07,0.000604582247730907,5.69938801443163,2.53707336435136,-2.33759939500496,11,1,28,2,19,6
"9230116N13Rik:NR_024328.1-2","9230116N13Rik","NR_024328.1-2",55.3327441295026,0.0114703473971601,14.3366968176565,0.000152855968762846,0.0725720897159852,9.04946542788022,11.2253547247537,0.625631485840408,19,72,57,79,36,80
"Sec16b:XM_036154461.1-17","Sec16b","XM_036154461.1-17",13.9225671341663,0.0443941692113237,18.2712560068749,1.91576183218094e-05,0.0175511405246992,3.05086539136352,6.70977351209902,2.27726614187172,7,27,4,14,4,25
"Prrc2c:NM_001081290.1-34","Prrc2c","NM_001081290.1-34",2779.73279187665,0.000521159963027972,30.5918575140749,3.1842730957218e-08,0.000117774962777184,62.2354068202162,66.5181647286014,0.238727502384455,2015,3361,3175,2248,1713,4165
"Lbr:XM_006497070.5-3","Lbr","XM_006497070.5-3",212.636808699032,0.002359740235974,15.3758987585615,8.81049291990199e-05,0.0497632264635528,18.6471344963844,21.4242484585442,0.410429243528563,171,261,248,223,153,229
"Lbr:XM_017313041.1-1","Lbr","XM_017313041.1-1",231.330478311982,0.00460249761308288,13.9018274492729,0.000192611103183237,0.0834361147846412,19.0476289971442,22.6410012621233,0.511903874956727,172,318,231,206,191,264
"Gm33887:XM_030244781.1-3","Gm33887","XM_030244781.1-3",4822.95949887902,0.000282479725963599,15.8427264153347,6.88305949107277e-05,0.0427713160202416,81.1157538863468,79.2498153885877,-0.0918649136746357,3902,4970,6406,4677,4874,4548
"Gm33887:XM_030244782.2-1","Gm33887","XM_030244782.2-1",373.47389254853,0.0023586502946734,13.9068765366881,0.000192094382268928,0.0834361147846412,24.880198152627,27.9752012308859,0.352725388683313,239,406,457,436,314,441
"Gm33887:XM_030244777.2-2","Gm33887","XM_030244777.2-2",308.004616506196,0.00192396303492924,15.1055015183759,0.000101666570541643,0.0546598168294235,22.5607709435955,25.5059741888226,0.366538641645398,203,337,347,344,271,377
"Mia3:XM_036165972.1-1","Mia3","XM_036165972.1-1",428.433979788239,0.00125904089055784,17.5130554189201,2.85341575553928e-05,0.0228788072516519,26.2723017311965,29.3883437943141,0.338681937373432,290,512,450,383,281,659
"A330023F24Rik:NR_015566.2-4","A330023F24Rik","NR_015566.2-4",2.04638027367362,0.1974315039599,13.454799142819,0.000244380256543305,0.0953066376011642,2.92753045801064,0.032581890947796,-12.979702136995,4,0,4,0,4,0
"Trdmt1:XR_003950435.2-9","Trdmt1","XR_003950435.2-9",1111.83750517262,0.00842280469160863,14.2006882966546,0.000164310399652558,0.076119199205507,48.1990564080936,39.9263854807289,-0.60664764633604,940,1070,1459,969,1317,992
"Nebl:XR_004940752.1-24","Nebl","XR_004940752.1-24",33.5918489659828,0.0117465022084891,18.0746295812176,2.12412965614341e-05,0.0185207952938472,9.78096433308048,6.56930870733018,-1.15313635440337,27,45,51,14,27,37
"Nebl:XR_004940752.1-25","Nebl","XR_004940752.1-25",41.6251716327651,0.0132217758046098,17.2985232787774,3.19434998451529e-05,0.0248310359677664,10.7832075003464,7.3752665713275,-1.10153626882908,36,59,55,25,36,37
"Spag6:XM_006497502.2-1","Spag6","XM_006497502.2-1",73.9526176766726,0.0295884308052552,13.5696410915224,0.00022987332974889,0.0919958682106394,13.638056351827,10.1589645461757,-0.857119302546449,67,46,106,44,108,77
"Rxra:XM_006497805.2-2","Rxra","XM_006497805.2-2",58.8144690918385,0.00602456961111616,42.4221955847477,7.35506062033339e-11,6.48705031235527e-07,12.296225776328,7.49766890594759,-1.43583942673777,71,26,119,27,96,21
"Rxra:XM_006497805.2-3","Rxra","XM_006497805.2-3",228.760919841066,0.00204003409926666,26.7446843771861,2.32189571707832e-07,0.000566433870486736,19.035398177884,22.783485422187,0.53247186117577,170,263,270,246,253,191
"Gm39783:XR_001783261.3-1","Gm39783","XR_001783261.3-1",31.8410192311571,0.0150738800649541,24.0131602114124,9.5679486093245e-07,0.0017984292649966,9.39213164704827,5.67137188367863,-1.46049058551422,35,11,48,22,63,15
"1700001O22Rik:NR_028487.2-5","1700001O22Rik","NR_028487.2-5",335.340307072602,0.00251843445664047,17.4238475963471,2.99050400425819e-05,0.0238114727861274,26.7163298719659,23.5199758207205,-0.381840603532568,260,326,403,405,478,188
"1700001O22Rik:XR_004940746.1-1","1700001O22Rik","XR_004940746.1-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XR_866021.3-1","1700001O22Rik","XR_866021.3-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XR_866021.3-5","1700001O22Rik","XR_866021.3-5",159.348991389986,0.00247405740682844,13.8726730604389,0.000195622252266793,0.083923037485396,18.7526818841445,16.2321488221869,-0.424298528179381,129,141,203,192,219,97
"1700001O22Rik:XR_004940745.1-1","1700001O22Rik","XR_004940745.1-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_011239198.3-1","1700001O22Rik","XM_011239198.3-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_011239199.3-1","1700001O22Rik","XM_011239199.3-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_011239197.4-1","1700001O22Rik","XM_011239197.4-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_006498376.4-1","1700001O22Rik","XM_006498376.4-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_011239195.4-1","1700001O22Rik","XM_011239195.4-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_006498375.4-1","1700001O22Rik","XM_006498375.4-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:XM_011239196.4-1","1700001O22Rik","XM_011239196.4-1",68.9432082917538,0.0144080509902064,20.4605163264596,6.08741512445232e-06,0.00762809664851863,9.08701829207925,13.5713054270866,1.16638265926041,39,97,54,141,34,63
"1700001O22Rik:NM_198000.3-1","1700001O22Rik","NM_198000.3-1",54.5380938994404,0.0175728059161004,21.0357790369761,4.50786210658593e-06,0.00630320065142597,7.73395838855527,12.3515220190861,1.35905732956776,25,78,37,131,30,42
"Prrc2b:XM_006497948.5-31","Prrc2b","XM_006497948.5-31",935.625627577966,0.000649126532460854,15.00146249138,0.000107427889239422,0.057000746270458,39.2826380115785,42.0265144016365,0.214264030573135,724,886,1126,1239,765,1011
"Sh2d3c:NR_045535.1-2","Sh2d3c","NR_045535.1-2",4.12466416023878,0.106673622195511,18.3774138366049,1.81193102825471e-05,0.0169593785989901,1.0017164258044,4.32370506061091,4.22116105275381,0,9,2,6,0,8
"Mvb12b:XM_036162605.1-8","Mvb12b","XM_036162605.1-8",137.319204818229,0.0222216006060134,21.8836987368677,2.89684321869572e-06,0.00445833892307669,12.9123719768716,19.5511752030586,1.21610498831613,57,178,142,190,98,183
"Gsn:NM_001362945.1-8","Gsn","NM_001362945.1-8",837.839664024995,0.00134082556353044,14.2966557850714,0.000156142031461589,0.0736605829373663,39.7088200477827,36.5731033092445,-0.258253139549632,812,456,1220,875,1198,595
"Gsn:NM_001362945.1-16","Gsn","NM_001362945.1-16",802.282367336679,0.00144930251862957,16.208871507579,5.67278338557352e-05,0.0375818531284016,36.2499474085757,39.8901673797203,0.300327645886854,579,562,1070,1105,1023,668
