"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"4115","GO:0009058",2.68148359333369e-25,1,1787,4546,"biosynthetic process","BP",3.31426168220099e-21
"2524","GO:0005622",3.07188959329038e-25,1,4116,11624,"intracellular anatomical structure","CC",3.31426168220099e-21
"18522","GO:1901576",5.64474015959437e-24,1,1752,4469,"organic substance biosynthetic process","BP",4.06007343879091e-20
"10648","GO:0043229",1.89934824693958e-23,1,3734,10443,"intracellular organelle","CC",1.02460341181156e-19
"11022","GO:0044249",4.078740257722e-23,1,1728,4415,"cellular biosynthetic process","BP",1.76022114562251e-19
"3275","GO:0006807",2.22991416855833e-22,1,2787,7558,"nitrogen compound metabolic process","BP",8.0195146548586e-19
"1528","GO:0003676",6.23632227751369e-22,1,1204,2938,"nucleic acid binding","MF",1.92239088720272e-18
"4116","GO:0009059",8.20413748757369e-22,1,1482,3713,"macromolecule biosynthetic process","BP",2.21286098383581e-18
"11016","GO:0044237",1.32853671190164e-21,1,2972,8157,"cellular metabolic process","BP",3.18524057437928e-18
"10645","GO:0043226",3.41396532420691e-21,1,3783,10643,"organelle","CC",7.36665437657366e-18
"11017","GO:0044238",6.22306577532383e-21,1,2915,7983,"primary metabolic process","BP",1.22073921181761e-17
"11032","GO:0044271",9.08046016514253e-21,1,1466,3702,"cellular nitrogen compound biosynthetic process","BP",1.63281807869538e-17
"9062","GO:0034641",1.33162230338786e-20,1,1953,5139,"cellular nitrogen compound metabolic process","BP",2.2102881586541e-17
"3755","GO:0008152",3.04229909088555e-20,1,3182,8841,"metabolic process","BP",4.59653027312136e-17
"10650","GO:0043231",3.19528937328855e-20,1,3436,9617,"intracellular membrane-bounded organelle","CC",4.59653027312136e-17
"2525","GO:0005634",4.34288767982343e-20,1,2327,6189,"nucleus","CC",5.85692689720187e-17
"4424","GO:0009889",5.94730161736962e-20,1,1318,3250,"regulation of biosynthetic process","BP",7.54887495880009e-17
"15715","GO:0071704",1.26246760334862e-19,1,3062,8478,"organic substance metabolic process","BP",1.5134181080587e-16
"13062","GO:0051171",2.1293328593411e-19,1,1743,4452,"regulation of nitrogen compound metabolic process","BP",2.41824970730854e-16
"16733","GO:0097159",2.69266938665852e-19,1,1798,4644,"organic cyclic compound binding","MF",2.90512100126588e-16
"10646","GO:0043227",3.34063948906593e-19,1,3541,9963,"membrane-bounded organelle","CC",3.4325866140507e-16
"18452","GO:1901363",5.74993672938953e-19,1,1780,4599,"heterocyclic compound binding","MF",5.63964248848943e-16
"7483","GO:0031326",1.00264360345994e-18,1,1288,3187,"regulation of cellular biosynthetic process","BP",9.40654072846027e-16
"6202","GO:0019219",1.11886112812747e-18,1,1289,3183,"regulation of nucleobase-containing compound metabolic process","BP",1.00594939261394e-15
"16199","GO:0080090",1.19741093745417e-18,1,1787,4594,"regulation of primary metabolic process","BP",1.03350932833544e-15
"2953","GO:0006357",4.20450919271388e-18,1,867,2030,"regulation of transcription by RNA polymerase II","BP",3.48941920616847e-15
"2960","GO:0006366",7.82863504185053e-18,1,886,2087,"transcription by RNA polymerase II","BP",6.25652914566854e-15
"4597","GO:0010556",9.17790951892044e-18,1,1236,3053,"regulation of macromolecule biosynthetic process","BP",7.07289041425947e-15
"13102","GO:0051252",1.03382962758678e-17,1,1184,2906,"regulation of RNA metabolic process","BP",7.69240541519572e-15
"16480","GO:0090304",1.36670318652584e-17,1,1594,4103,"nucleic acid metabolic process","BP",9.83024045295155e-15
"10609","GO:0043170",1.80131364362799e-17,1,2674,7306,"macromolecule metabolic process","BP",1.25383050974854e-14
"1529","GO:0003677",2.02315099868093e-17,1,825,1936,"DNA binding","MF",1.34265865780413e-14
"1537","GO:0003690",2.05337546146707e-17,1,576,1287,"double-stranded DNA binding","MF",1.34265865780413e-14
"369","GO:0001067",3.11867875432502e-17,1,528,1160,"transcription regulatory region nucleic acid binding","MF",1.9792602988478e-14
"20840","GO:1990837",3.65385743739631e-17,1,545,1206,"sequence-specific double-stranded DNA binding","MF",2.25265530811822e-14
"7480","GO:0031323",4.02714566651414e-17,1,1822,4729,"regulation of cellular metabolic process","BP",2.41382636644561e-14
"347","GO:0000976",5.21061866523575e-17,1,525,1155,"transcription cis-regulatory region binding","MF",3.03877647455289e-14
"2951","GO:0006355",5.63566021917432e-17,1,1077,2620,"regulation of transcription, DNA-templated","BP",3.20016516340378e-14
"19333","GO:1903506",6.3610873408402e-17,1,1078,2624,"regulation of nucleic acid-templated transcription","BP",3.51947545232435e-14
"13844","GO:0060255",6.6749120494139e-17,1,1861,4856,"regulation of macromolecule metabolic process","BP",3.60078130505633e-14
"21490","GO:2001141",6.97664008475637e-17,1,1080,2631,"regulation of RNA biosynthetic process","BP",3.67175462802129e-14
