"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"4599","GO:0010558",4.06524487166183e-09,1,370,1236,"negative regulation of macromolecule biosynthetic process","BP",5.33048841637874e-05
"11624","GO:0045934",4.94066958604017e-09,1,374,1251,"negative regulation of nucleobase-containing compound metabolic process","BP",5.33048841637874e-05
"13103","GO:0051253",8.58574600576704e-09,1,342,1134,"negative regulation of RNA metabolic process","BP",6.1754409104147e-05
"16199","GO:0080090",1.41968633811586e-08,1,1183,4594,"regulation of primary metabolic process","BP",7.45083018403909e-05
"6205","GO:0019222",2.47889545292399e-08,1,1331,5271,"regulation of metabolic process","BP",7.45083018403909e-05
"7480","GO:0031323",3.29194736555976e-08,1,1210,4729,"regulation of cellular metabolic process","BP",7.45083018403909e-05
"11592","GO:0045892",3.43441624253579e-08,1,311,1028,"negative regulation of transcription, DNA-templated","BP",7.45083018403909e-05
"348","GO:0000977",3.64374282930885e-08,1,323,1068,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",7.45083018403909e-05
"6202","GO:0019219",3.8615463187619e-08,1,847,3183,"regulation of nucleobase-containing compound metabolic process","BP",7.45083018403909e-05
"12460","GO:0048523",3.9401513787291e-08,1,1040,4011,"negative regulation of cellular process","BP",7.45083018403909e-05
"7484","GO:0031327",4.12411071244192e-08,1,376,1286,"negative regulation of cellular biosynthetic process","BP",7.45083018403909e-05
"4424","GO:0009889",4.49724430011874e-08,1,859,3250,"regulation of biosynthetic process","BP",7.45083018403909e-05
"18948","GO:1902679",4.8341654730071e-08,1,311,1032,"negative regulation of RNA biosynthetic process","BP",7.45083018403909e-05
"19334","GO:1903507",4.8341654730071e-08,1,311,1032,"negative regulation of nucleic acid-templated transcription","BP",7.45083018403909e-05
"4425","GO:0009890",5.78149157554992e-08,1,384,1325,"negative regulation of biosynthetic process","BP",8.3168683478144e-05
"349","GO:0000978",6.75810636294262e-08,1,275,893,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",9.1141511937235e-05
"13062","GO:0051171",7.61938053709713e-08,1,1142,4452,"regulation of nitrogen compound metabolic process","BP",9.2019675649874e-05
"2953","GO:0006357",7.67612457919053e-08,1,566,2030,"regulation of transcription by RNA polymerase II","BP",9.2019675649874e-05
"13102","GO:0051252",9.12479750230715e-08,1,778,2906,"regulation of RNA metabolic process","BP",0.000103628884476202
"12456","GO:0048519",1.05496822996275e-07,1,1121,4386,"negative regulation of biological process","BP",0.000113820522330681
"7232","GO:0030856",1.52216642770884e-07,0.999999947973554,51,109,"regulation of epithelial cell differentiation","BP",0.000156406224652863
"351","GO:0000981",1.59919797275434e-07,1,300,1001,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0.000156852244800423
"352","GO:0000987",2.41141154850877e-07,1,277,914,"cis-regulatory region sequence-specific DNA binding","MF",0.00022623234084227
"62","GO:0000122",2.74838346884989e-07,1,238,777,"negative regulation of transcription by RNA polymerase II","BP",0.000247102577045179
"1542","GO:0003700",3.23901386351947e-07,1,311,1049,"DNA-binding transcription factor activity","MF",0.000279565764588093
"369","GO:0001067",3.78175055907974e-07,1,341,1160,"transcription regulatory region nucleic acid binding","MF",0.000313856206014702
"7481","GO:0031324",5.34196105778125e-07,0.999999767306609,561,2057,"negative regulation of cellular metabolic process","BP",0.000412239876089481
"2960","GO:0006366",5.34929860529496e-07,0.99999976668275,574,2087,"transcription by RNA polymerase II","BP",0.000412239876089481
"1529","GO:0003677",6.0495755648285e-07,0.999999737191389,534,1936,"DNA binding","MF",0.000450130143234033
"347","GO:0000976",8.02845326075611e-07,0.999999663432705,339,1155,"transcription cis-regulatory region binding","MF",0.000577459881535318
"13844","GO:0060255",8.5368762770757e-07,0.999999424643533,1225,4856,"regulation of macromolecule metabolic process","BP",0.000594221665505611
"13063","GO:0051172",1.04384757615943e-06,0.999999398156016,531,1939,"negative regulation of nitrogen compound metabolic process","BP",0.000703879468699009
"7483","GO:0031326",1.13519987018522e-06,0.99999924640063,835,3187,"regulation of cellular biosynthetic process","BP",0.000742283115116866
