"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"1","GO:0005576",7.49945555682083e-10,1,97,1308,"extracellular region","CC",1.6182325200508e-05
"2","GO:0005615",3.99821806947251e-09,1,71,879,"extracellular space","CC",4.31367747515389e-05
"3","GO:0048018",2.42791471931239e-08,0.999999993828556,30,250,"receptor ligand activity","MF",0.000131706762061193
"4","GO:0030545",2.44150082604863e-08,0.99999999350259,32,277,"signaling receptor regulator activity","MF",0.000131706762061193
"5","GO:0030546",5.4746245237059e-08,0.999999984988997,30,258,"signaling receptor activator activity","MF",0.000236262895945052
"6","GO:0071944",3.02021579667558e-07,1,217,3834,"cell periphery","CC",0.000990448911849766
"7","GO:0051241",3.27525945927081e-07,1,65,821,"negative regulation of multicellular organismal process","BP",0.000990448911849766
"8","GO:0005102",4.31142030735528e-07,1,77,1066,"signaling receptor binding","MF",0.000990448911849766
"9","GO:0032101",4.50150364052466e-07,0.999999860838701,56,673,"regulation of response to external stimulus","BP",0.000990448911849766
"10","GO:0051239",4.59008671725723e-07,1,134,2149,"regulation of multicellular organismal process","BP",0.000990448911849766
"11","GO:0005887",6.24119972771268e-07,0.999999794756988,68,858,"integral component of plasma membrane","CC",0.00122429643385986
"12","GO:0031226",1.3060093156315e-06,0.999999560358654,70,915,"intrinsic component of plasma membrane","CC",0.0022993309160044
"13","GO:0031012",1.3856089004223e-06,0.999999503415602,35,340,"extracellular matrix","CC",0.0022993309160044
"14","GO:0030312",1.49182652813336e-06,0.999999463472201,35,341,"external encapsulating structure","CC",0.0022993309160044
"15","GO:0051093",2.0347740925479e-06,0.999999157320417,59,740,"negative regulation of developmental process","BP",0.00292709035793323
"16","GO:0050920",4.25678103378984e-06,0.999998854065634,21,161,"regulation of chemotaxis","BP",0.00562063624354007
"17","GO:0006935",4.42815905738165e-06,0.999998223669821,39,424,"chemotaxis","BP",0.00562063624354007
"18","GO:0062023",4.91094272682919e-06,0.999998357565402,28,257,"collagen-containing extracellular matrix","CC",0.00588712900886224
"19","GO:0051960",5.44996752956405e-06,0.999997766932736,40,435,"regulation of nervous system development","BP",0.006189442071207
"20","GO:0042330",5.85889676859471e-06,0.999997619710191,39,429,"taxis","BP",0.00632116372363683
"21","GO:0050896",7.03128760335348e-06,0.999995368190853,307,6080,"response to stimulus","BP",0.00722481542405531
"22","GO:0007154",8.39076575738434e-06,0.999994560496506,231,4314,"cell communication","BP",0.00822981561421997
"23","GO:0023052",1.22173500979932e-05,0.99999190301129,228,4265,"signaling","BP",0.0114619991484564
"24","GO:0009986",1.33111523638144e-05,0.999993857357462,48,603,"cell surface","CC",0.0115713871761208
"25","GO:0060326",1.34064639634359e-05,0.999995937447509,22,194,"cell chemotaxis","BP",0.0115713871761208
"26","GO:0010596",1.58163044625518e-05,0.999997809346392,10,46,"negative regulation of endothelial cell migration","BP",0.0131263160651132
