"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2481","GO:0005615",1.22341372324532e-10,1,118,805,"extracellular space","CC",2.61003083717156e-06
"2258","GO:0005102",2.02240024205455e-09,1,141,1017,"signaling receptor binding","MF",2.15729433819959e-05
"2463","GO:0005576",6.70427565632713e-09,1,155,1213,"extracellular region","CC",4.76763389506943e-05
"4405","GO:0009986",1.20852428780697e-08,1,89,565,"cell surface","CC",6.44566428901846e-05
"3422","GO:0007154",1.77420475166707e-08,1,446,4120,"cell communication","BP",7.57017683441307e-05
"20737","GO:2000145",3.97381522078153e-08,1,111,752,"regulation of cell motility","BP",0.000108433060545707
"9949","GO:0040012",4.08183847669911e-08,1,115,787,"regulation of locomotion","BP",0.000108433060545707
"6979","GO:0030334",4.38644122653994e-08,1,107,715,"regulation of cell migration","BP",0.000108433060545707
"12991","GO:0051270",4.57437679249724e-08,1,118,816,"regulation of cellular component movement","BP",0.000108433060545707
"9948","GO:0040011",5.71241581119888e-08,1,180,1394,"locomotion","BP",0.000113214752781097
"12968","GO:0051239",5.83745326986061e-08,1,244,2048,"regulation of multicellular organismal process","BP",0.000113214752781097
"6757","GO:0023052",6.44975810671321e-08,1,438,4074,"signaling","BP",0.000114665949540516
"1009","GO:0002475",7.4727693843507e-08,0.999999993962845,12,25,"antigen processing and presentation via MHC class Ib","BP",0.000122633893881337
"5585","GO:0016477",8.12408658220044e-08,1,152,1129,"cell migration","BP",0.00012379947367476
"11317","GO:0045595",1.01883339280013e-07,1,159,1217,"regulation of cell differentiation","BP",0.000144905277346653
"13343","GO:0051960",1.14763290629978e-07,1,72,429,"regulation of nervous system development","BP",0.000147730548969321
"6352","GO:0019882",1.20779642854035e-07,0.999999973864224,23,84,"antigen processing and presentation","BP",0.000147730548969321
"6353","GO:0019883",1.24643755575503e-07,0.999999987504727,13,30,"antigen processing and presentation of endogenous antigen","BP",0.000147730548969321
"12159","GO:0048018",1.37956661254001e-07,0.999999963427427,42,229,"receptor ligand activity","MF",0.000154903547957518
"4324","GO:0009653",1.74350490551316e-07,1,256,2151,"anatomical structure morphogenesis","BP",0.000178521815687056
"8045","GO:0032501",1.75726920850669e-07,1,530,5113,"multicellular organismal process","BP",0.000178521815687056
"12447","GO:0048731",2.07381201236623e-07,1,367,3313,"system development","BP",0.000201103206690096
"6849","GO:0030154",2.24250785352444e-07,1,352,3179,"cell differentiation","BP",0.00020800722846561
"1015","GO:0002483",2.87473590450456e-07,0.999999972464524,12,27,"antigen processing and presentation of endogenous peptide antigen","BP",0.000245318463146801
"6355","GO:0019885",2.87473590450456e-07,0.999999972464524,12,27,"antigen processing and presentation of endogenous peptide antigen via MHC class I","BP",0.000245318463146801
"11986","GO:0046979",3.17246212163967e-07,0.999999984328872,9,15,"TAP2 binding","MF",0.000260312718857926
"7057","GO:0030546",4.11732412232499e-07,0.999999860074258,42,236,"signaling receptor activator activity","MF",0.000325329603058079
"1010","GO:0002476",5.14931051090651e-07,0.999999962699913,10,20,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib","BP",0.000369730858868163
"1016","GO:0002484",5.14931051090651e-07,0.999999962699913,10,20,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","BP",0.000369730858868163
"7056","GO:0030545",5.19917772852952e-07,0.999999817774684,44,254,"signaling receptor regulator activity","MF",0.000369730858868163
"3313","GO:0006935",6.53370171307381e-07,1,66,406,"chemotaxis","BP",0.000436828050479429
"12145","GO:0048002",6.55221600044142e-07,0.999999892623516,16,49,"antigen processing and presentation of peptide antigen","BP",0.000436828050479429
"12509","GO:0048869",6.92761568901597e-07,0.99999970841992,352,3199,"cellular developmental process","BP",0.000442659211131837
"11984","GO:0046977",7.26215074042107e-07,0.99999995779577,9,16,"TAP binding","MF",0.000442659211131837
"11985","GO:0046978",7.26215074042107e-07,0.99999995779577,9,16,"TAP1 binding","MF",0.000442659211131837
"9950","GO:0040013",8.02694023275785e-07,0.999999764196631,48,260,"negative regulation of locomotion","BP",0.000475685397015711
"10249","GO:0042611",8.304885657696e-07,0.999999934621357,10,21,"MHC protein complex","CC",0.000476178864584153
"976","GO:0002428",8.51022057588108e-07,0.999999932815402,10,21,"antigen processing and presentation of peptide antigen via MHC class Ib","BP",0.000476178864584153
"10245","GO:0042605",8.92605673309917e-07,0.999999914905406,11,25,"peptide antigen binding","MF",0.000476178864584153
"666","GO:0001916",8.92807470861822e-07,0.999999886262279,13,35,"positive regulation of T cell mediated cytotoxicity","BP",0.000476178864584153
"12788","GO:0050920",9.98210489730544e-07,0.999999672291872,33,152,"regulation of chemotaxis","BP",0.00051941030702223
"12510","GO:0048870",1.09371318064199e-06,0.999999572868815,160,1256,"cell motility","BP",0.00054263434873991
"13209","GO:0051674",1.09371318064199e-06,0.999999572868815,160,1256,"localization of cell","BP",0.00054263434873991
"1008","GO:0002474",1.61479087984833e-06,0.999999780565923,13,36,"antigen processing and presentation of peptide antigen via MHC class I","BP",0.000782953377970096
"12970","GO:0051241",1.71660796946186e-06,0.999999367479294,106,777,"negative regulation of multicellular organismal process","BP",0.000807916050847962
"10105","GO:0042330",1.74201454668633e-06,0.999999263507924,66,411,"taxis","BP",0.000807916050847962
"20681","GO:2000026",1.87397287352527e-06,0.999999054301261,142,1101,"regulation of multicellular organismal development","BP",0.000850624197527406
"3433","GO:0007165",2.4674476221098e-06,0.999998444418427,394,3694,"signal transduction","BP",0.00109667765771022
"4369","GO:0009887",2.64326763660955e-06,0.999998721313783,109,788,"animal organ morphogenesis","BP",0.00115084636243731
"664","GO:0001914",2.9883517763497e-06,0.999999562736884,13,38,"regulation of T cell mediated cytotoxicity","BP",0.00126011428019704
"657","GO:0001906",3.0123665646409e-06,0.999999155940001,24,108,"cell killing","BP",0.00126011428019704
"663","GO:0001913",3.31914750294381e-06,0.999999456882369,14,44,"T cell mediated cytotoxicity","BP",0.0013531311894108
"1018","GO:0002486",3.36158024930966e-06,0.99999973355204,9,19,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","BP",0.0013531311894108
"6872","GO:0030182",3.53341794584556e-06,0.999997981970208,156,1214,"neuron differentiation","BP",0.00137451787123666
"12674","GO:0050767",3.54356815027733e-06,0.999998398471085,60,364,"regulation of neurogenesis","BP",0.00137451787123666
"433","GO:0001525",3.94681174829361e-06,0.999998309594209,64,404,"angiogenesis","BP",0.00150359431853743
"662","GO:0001912",4.07677025435113e-06,0.999999259617529,15,50,"positive regulation of leukocyte mediated cytotoxicity","BP",0.00152585643168995
"12430","GO:0048699",4.15082974551615e-06,0.999997609005271,162,1274,"generation of neurons","BP",0.00152678968604899
"12328","GO:0048513",4.51137859996632e-06,0.999996961410932,286,2554,"animal organ development","BP",0.00163128391613019
"3557","GO:0007423",4.66267228674311e-06,0.999997792997354,67,433,"sensory organ development","BP",0.00165789084275629
"15674","GO:0071944",4.74723087509368e-06,0.999996709787443,390,3632,"cell periphery","CC",0.00166028563097129
"1145","GO:0002711",4.99919026163796e-06,0.99999900895358,16,55,"positive regulation of T cell mediated immunity","BP",0.00172020524260942
"3543","GO:0007399",5.73413009723564e-06,0.999996345054179,225,1899,"nervous system development","BP",0.0019417766903877
"660","GO:0001910",5.98915970744015e-06,0.999998707387367,17,63,"regulation of leukocyte mediated cytotoxicity","BP",0.001996448956227
"12768","GO:0050896",6.19061768030447e-06,0.999995508269584,580,5831,"response to stimulus","BP",0.00203185596294793
"4420","GO:0010033",6.5141679767626e-06,0.999995677324865,240,2133,"response to organic substance","BP",0.00210565544873111
"7428","GO:0031341",6.71849477996948e-06,0.999998448893747,18,70,"regulation of cell killing","BP",0.00213928906919207
"9985","GO:0042056",6.8637958278108e-06,0.999999387527446,9,20,"chemoattractant activity","MF",0.0021534150028017
"6676","GO:0022008",7.16835993660291e-06,0.999995555615264,179,1451,"neurogenesis","BP",0.00221637378097806
"12694","GO:0050793",8.28549896269445e-06,0.999994428797688,225,1940,"regulation of developmental process","BP",0.00251875847263475
"12448","GO:0048732",8.3824810892035e-06,0.999996246000891,54,324,"gland development","BP",0.00251875847263475
"9191","GO:0035295",9.06777964181046e-06,0.999994635218939,117,879,"tube development","BP",0.00266407837328478
"10053","GO:0042221",9.17839563162387e-06,0.99999351946342,301,2783,"response to chemical","BP",0.00266407837328478
"7352","GO:0031226",9.24073308442268e-06,0.999994685800593,114,856,"intrinsic component of plasma membrane","CC",0.00266407837328478
"7430","GO:0031343",9.91141317405562e-06,0.999998032123977,15,53,"positive regulation of cell killing","BP",0.00281933451540404
"13727","GO:0060284",1.30462083415334e-05,0.999993288667444,71,471,"regulation of cell development","BP",0.00366220800997728
"555","GO:0001755",1.34343356591986e-05,0.999997525605459,14,42,"neural crest cell migration","BP",0.00372218333705641
"12395","GO:0048646",1.49416181816302e-05,0.999991026638322,119,911,"anatomical structure formation involved in morphogenesis","BP",0.00404813065783557
"12884","GO:0051094",1.49902653965037e-05,0.999990658978516,133,1054,"positive regulation of developmental process","BP",0.00404813065783557
"659","GO:0001909",1.57731667435071e-05,0.999995706942815,20,87,"leukocyte mediated cytotoxicity","BP",0.00416819002872146
"12329","GO:0048514",1.58256019652404e-05,0.99999177281375,72,488,"blood vessel morphogenesis","BP",0.00416819002872146
"7963","GO:0032398",1.63627321444601e-05,0.999999012802805,7,13,"MHC class Ib protein complex","CC",0.00425710399475502
"11420","GO:0045765",2.00677591240176e-05,0.999991526034581,39,223,"regulation of angiogenesis","BP",0.00512031776857574
"4565","GO:0010596",2.01606211943547e-05,0.999996079792711,14,45,"negative regulation of endothelial cell migration","BP",0.00512031776857574
"8046","GO:0032502",2.15507982550531e-05,0.999983668996159,485,4748,"developmental process","BP",0.00540899682321533
"3504","GO:0007275",2.23633961189425e-05,0.999983243946223,407,3873,"multicellular organism development","BP",0.00554768247443628
"12790","GO:0050922",2.33524104782183e-05,0.999995417722457,14,44,"negative regulation of chemotaxis","BP",0.00568721979818769
"3423","GO:0007155",2.34590485722563e-05,0.999985357115906,128,989,"cell adhesion","BP",0.00568721979818769
"11319","GO:0045597",2.38811248064895e-05,0.999986078863852,94,698,"positive regulation of cell differentiation","BP",0.00572449344518704
"1539","GO:0003823",2.46588173604328e-05,0.999995408061361,13,44,"antigen binding","MF",0.00584523566186081
"18253","GO:1901342",2.50793372294381e-05,0.999989291139711,39,225,"regulation of vasculature development","BP",0.00587958879618498
"12518","GO:0048880",2.60951500431125e-05,0.999987823788399,48,292,"sensory system development","BP",0.00605123838064959
"9155","GO:0035239",2.80606024282388e-05,0.999983450756818,97,714,"tube morphogenesis","BP",0.00643704185165642
"12500","GO:0048856",3.11853905933811e-05,0.999976190356788,456,4435,"anatomical structure development","BP",0.00707775662679992
"7247","GO:0031012",3.26699271796775e-05,0.999984151925762,51,318,"extracellular matrix","CC",0.00733663396264464
"2639","GO:0005887",3.53989797141728e-05,0.999978393999133,106,803,"integral component of plasma membrane","CC",0.00786668576273086
"6960","GO:0030312",3.65545096828673e-05,0.99998218387755,51,319,"external encapsulating structure","CC",0.00803973102653909
"507","GO:0001667",4.0335381740939e-05,0.999979840370238,54,341,"ameboidal-type cell migration","BP",0.00876654824787942
"3624","GO:0007631",4.06809916818254e-05,0.99998908947271,18,74,"feeding behavior","BP",0.00876654824787942
"3434","GO:0007166",4.40239576911434e-05,0.999968916599065,214,1884,"cell surface receptor signaling pathway","BP",0.00939207113382852
"12362","GO:0048583",4.51279343973124e-05,0.999966505635037,308,2885,"regulation of response to stimulus","BP",0.00953227081616101
"10417","GO:0043010",4.68610984740277e-05,0.999978458248235,43,257,"camera-type eye development","BP",0.00980132034161674
"6703","GO:0022603",4.76698570629841e-05,0.999970744079208,103,781,"regulation of anatomical structure morphogenesis","BP",0.00987367699593887
"3308","GO:0006928",4.88595871152812e-05,0.999966070630378,189,1613,"movement of cell or subcellular component","BP",0.00997686637843781
"12306","GO:0048468",4.91033547265384e-05,0.999965337405443,211,1827,"cell development","BP",0.00997686637843781
"15873","GO:0072359",5.2149933278508e-05,0.999967105952103,115,895,"circulatory system development","BP",0.0104959120430537
"8271","GO:0032879",5.44437797980819e-05,0.999960691569523,241,2168,"regulation of localization","BP",0.010855173815068
"6981","GO:0030336",5.60276058242222e-05,0.999975372832342,38,220,"negative regulation of cell migration","BP",0.0110675272467959
"15297","GO:0071310",5.95150259429442e-05,0.9999581709328,196,1735,"cellular response to organic substance","BP",0.0116485648024474
"6980","GO:0030335",6.09565181804565e-05,0.999967210096849,63,426,"positive regulation of cell migration","BP",0.0118222396260169
"12883","GO:0051093",6.23642886264126e-05,0.999962255842514,94,714,"negative regulation of developmental process","BP",0.0119863039059089
"3631","GO:0008015",6.35133204641887e-05,0.999968284954908,51,330,"blood circulation","BP",0.0120981533819911
"7793","GO:0032101",6.78252479200919e-05,0.999959984833194,84,639,"regulation of response to external stimulus","BP",0.012774971467232
"496","GO:0001655",6.82641205242546e-05,0.999967777847502,44,263,"urogenital system development","BP",0.012774971467232
"20738","GO:2000146",6.88972388108154e-05,0.99996900806261,39,231,"negative regulation of cell motility","BP",0.0127813364590429
"14570","GO:0062023",6.96465762744825e-05,0.99996796509295,41,245,"collagen-containing extracellular matrix","CC",0.0128089660193087
