"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"1","GO:0005634",3.17385702180662e-27,1,1447,6083,"nucleus","CC",6.85965718123064e-23
"2","GO:0005622",7.19035315822515e-22,1,2411,11539,"intracellular anatomical structure","CC",7.77025514043601e-18
"3","GO:0043231",1.86260355404792e-21,1,2042,9525,"intracellular membrane-bounded organelle","CC",1.08572450387244e-17
"4","GO:0043229",2.00939157705537e-21,1,2201,10353,"intracellular organelle","CC",1.08572450387244e-17
"5","GO:0043227",1.28836550746052e-19,1,2093,9869,"membrane-bounded organelle","CC",4.82892601657995e-16
"6","GO:0003723",1.34056151850644e-19,1,301,1009,"RNA binding","MF",4.82892601657995e-16
"7","GO:0003676",5.50327515309555e-19,1,736,2845,"nucleic acid binding","MF",1.69917551262649e-15
"8","GO:0043226",1.04474741805952e-18,1,2223,10563,"organelle","CC",2.82251574331506e-15
"9","GO:0031981",1.49377195171829e-18,1,878,3517,"nuclear lumen","CC",3.58721035472082e-15
"10","GO:0005654",4.20687340427915e-18,1,802,3151,"nucleoplasm","CC",9.09231548866852e-15
"11","GO:0031974",1.16595267192472e-17,1,939,3906,"membrane-enclosed lumen","CC",1.93844116140838e-14
"12","GO:0043233",1.16595267192472e-17,1,939,3906,"organelle lumen","CC",1.93844116140838e-14
"13","GO:0070013",1.16595267192472e-17,1,939,3906,"intracellular organelle lumen","CC",1.93844116140838e-14
"14","GO:0090304",1.16969632414734e-16,1,978,4051,"nucleic acid metabolic process","BP",1.80576047527118e-13
"15","GO:0034641",1.97805333199734e-16,1,1155,5058,"cellular nitrogen compound metabolic process","BP",2.8501111109639e-13
"16","GO:0006139",2.51411639829079e-16,1,1039,4397,"nucleobase-containing compound metabolic process","BP",3.36053542005286e-13
"17","GO:0046483",2.64327497991481e-16,1,1059,4502,"heterocycle metabolic process","BP",3.36053542005286e-13
"18","GO:0006396",7.03605089175371e-16,1,241,822,"RNA processing","BP",8.44834266241516e-13
"19","GO:0006725",7.44919907930697e-16,1,1065,4549,"cellular aromatic compound metabolic process","BP",8.4736599842664e-13
"20","GO:1901360",1.25324303872217e-15,1,1094,4710,"organic cyclic compound metabolic process","BP",1.35431708979511e-12
