"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2517","GO:0005634",3.17385702180662e-27,1,1447,6083,"nucleus","CC",6.85965718123064e-23
"2516","GO:0005622",7.19035315822515e-22,1,2411,11539,"intracellular anatomical structure","CC",7.77025514043601e-18
"10673","GO:0043231",1.86260355404792e-21,1,2042,9525,"intracellular membrane-bounded organelle","CC",1.08572450387244e-17
"10671","GO:0043229",2.00939157705537e-21,1,2201,10353,"intracellular organelle","CC",1.08572450387244e-17
"10669","GO:0043227",1.28836550746052e-19,1,2093,9869,"membrane-bounded organelle","CC",4.82892601657995e-16
"1548","GO:0003723",1.34056151850644e-19,1,301,1009,"RNA binding","MF",4.82892601657995e-16
"1527","GO:0003676",5.50327515309555e-19,1,736,2845,"nucleic acid binding","MF",1.69917551262649e-15
"10668","GO:0043226",1.04474741805952e-18,1,2223,10563,"organelle","CC",2.82251574331506e-15
"7790","GO:0031981",1.49377195171829e-18,1,878,3517,"nuclear lumen","CC",3.58721035472082e-15
"2527","GO:0005654",4.20687340427915e-18,1,802,3151,"nucleoplasm","CC",9.09231548866852e-15
"7788","GO:0031974",1.16595267192472e-17,1,939,3906,"membrane-enclosed lumen","CC",1.93844116140838e-14
"10675","GO:0043233",1.16595267192472e-17,1,939,3906,"organelle lumen","CC",1.93844116140838e-14
"14818","GO:0070013",1.16595267192472e-17,1,939,3906,"intracellular organelle lumen","CC",1.93844116140838e-14
"16497","GO:0090304",1.16969632414734e-16,1,978,4051,"nucleic acid metabolic process","BP",1.80576047527118e-13
"9074","GO:0034641",1.97805333199734e-16,1,1155,5058,"cellular nitrogen compound metabolic process","BP",2.8501111109639e-13
"2822","GO:0006139",2.51411639829079e-16,1,1039,4397,"nucleobase-containing compound metabolic process","BP",3.36053542005286e-13
"11883","GO:0046483",2.64327497991481e-16,1,1059,4502,"heterocycle metabolic process","BP",3.36053542005286e-13
"2969","GO:0006396",7.03605089175371e-16,1,241,822,"RNA processing","BP",8.44834266241516e-13
"3223","GO:0006725",7.44919907930697e-16,1,1065,4549,"cellular aromatic compound metabolic process","BP",8.4736599842664e-13
"18474","GO:1901360",1.25324303872217e-15,1,1094,4710,"organic cyclic compound metabolic process","BP",1.35431708979511e-12
"16751","GO:0097159",5.92760441708636e-15,1,1081,4556,"organic cyclic compound binding","MF",6.10063401268988e-12
"18477","GO:1901363",1.24409356858903e-14,1,1071,4515,"heterocyclic compound binding","MF",1.2222088317234e-11
"5447","GO:0016070",4.15746697660877e-14,1,860,3555,"RNA metabolic process","BP",3.90675364197589e-11
"5448","GO:0016071",2.95827091295947e-13,1,200,649,"mRNA metabolic process","BP",2.66404621840805e-10
"11039","GO:0044238",9.65331761639186e-13,1,1685,7898,"primary metabolic process","BP",8.34548614572309e-10
"15733","GO:0071704",3.83310424853396e-12,1,1765,8394,"organic substance metabolic process","BP",3.1863416201371e-09
"10632","GO:0043170",4.40065676154609e-12,1,1562,7235,"macromolecule metabolic process","BP",3.39890591936469e-09
"3268","GO:0006807",4.40333899700233e-12,1,1601,7480,"nitrogen compound metabolic process","BP",3.39890591936469e-09
"2457","GO:0005488",1.41293813867971e-11,1,2190,10456,"binding","MF",1.05302868935464e-08
"11038","GO:0044237",1.62613687865552e-11,1,1701,8073,"cellular metabolic process","BP",1.17152321194606e-08
"4552","GO:0010467",1.87203293920719e-11,1,1064,4755,"gene expression","BP",1.30516928758339e-08
"3745","GO:0008152",7.13435803063817e-11,1,1818,8759,"metabolic process","BP",4.81859000363071e-08
"2970","GO:0006397",7.87751913685193e-11,1,135,430,"mRNA processing","BP",5.15929760923578e-08
"1553","GO:0003729",1.43261039471399e-09,1,101,300,"mRNA binding","MF",9.10676719439806e-07
"2568","GO:0005737",1.93642999667427e-09,1,1927,9399,"cytoplasm","CC",1.19577318623203e-06
"3881","GO:0008380",2.97671700730987e-09,1,112,369,"RNA splicing","BP",1.7871051299719e-06
"4451","GO:0009987",3.74244282794477e-09,1,2466,12268,"cellular process","BP",2.18609234703704e-06
"10670","GO:0043228",1.15415165538117e-08,1,869,3833,"non-membrane-bounded organelle","CC",6.39607172506491e-06
