"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2288","GO:0005078",5.19421942306836e-05,0.999998421575527,4,13,"MAP-kinase scaffold activity","MF",1
"13715","GO:0060039",0.00038295922420922,0.999978387293824,4,20,"pericardium development","BP",1
"12467","GO:0048519",0.000804026597816009,0.999513863886338,85,4384,"negative regulation of biological process","BP",1
"12471","GO:0048523",0.00102223631237018,0.999381568138778,79,4010,"negative regulation of cellular process","BP",1
"13902","GO:0060324",0.0012767528869226,0.999847792340007,5,51,"face development","BP",1
"10583","GO:0043086",0.00140679912358703,0.999488677502343,16,486,"negative regulation of catalytic activity","BP",1
"16406","GO:0090215",0.00158428049996623,0.999982603239368,2,4,"regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity","BP",1
"789","GO:0002072",0.00159446650732973,0.999982434004764,2,4,"optic cup morphogenesis involved in camera-type eye development","BP",1
"13624","GO:0055017",0.00199692432694492,0.999663852088752,6,86,"cardiac muscle tissue growth","BP",1
"16087","GO:0072557",0.00246164718524348,0.999966129276738,2,4,"IPAF inflammasome complex","CC",1
"14323","GO:0061032",0.00266358347783881,0.999955742911517,2,5,"visceral serous pericardium development","BP",1
"13979","GO:0060419",0.00274147684697223,0.999507351913721,6,91,"heart growth","BP",1
"12831","GO:0050794",0.00297187991747877,0.99809282927052,137,8139,"regulation of cellular process","BP",1
"13043","GO:0051129",0.00306266384863839,0.998690418277299,19,640,"negative regulation of cellular component organization","BP",1
"13042","GO:0051128",0.0033127358980561,0.998081720651961,46,2071,"regulation of cellular component organization","BP",1
"9457","GO:0035591",0.00333100234691719,0.999499610012529,5,63,"signaling adaptor activity","MF",1
"17686","GO:0110020",0.00333417734829724,0.999376243213009,6,93,"regulation of actomyosin structure organization","BP",1
"14787","GO:0065007",0.00345459504392499,0.997797734804358,147,8934,"biological regulation","BP",1
"14789","GO:0065009",0.00353966966090399,0.997963596328536,44,2022,"regulation of molecular function","BP",1
"11013","GO:0044092",0.00378550815389133,0.998275210682727,21,790,"negative regulation of molecular function","BP",1
"5028","GO:0014855",0.00384566653917622,0.999401327520917,5,66,"striated muscle cell proliferation","BP",1
"14247","GO:0060900",0.00388503371969162,0.99991479630722,2,6,"embryonic camera-type eye formation","BP",1
"6828","GO:0023052",0.00408047892445861,0.997367271577761,81,4291,"signaling","BP",1
"12827","GO:0050789",0.0041392439105417,0.997317284377627,141,8510,"regulation of biological process","BP",1
"16440","GO:0090269",0.00418210615736633,0.999899459621217,2,7,"fibroblast growth factor production","BP",1
"16441","GO:0090270",0.00418210615736633,0.999899459621217,2,7,"regulation of fibroblast growth factor production","BP",1
"12828","GO:0050790",0.00441672716907627,0.99761267432924,33,1411,"regulation of catalytic activity","BP",1
"13100","GO:0051234",0.00508971310834667,0.99674725561476,69,3631,"establishment of localization","BP",1
"8483","GO:0033043",0.00522926292662544,0.997346502891684,26,1029,"regulation of organelle organization","BP",1
"15716","GO:0071705",0.00541127965816425,0.996938448643006,37,1709,"nitrogen compound transport","BP",1
"13178","GO:0051348",0.00576118639064239,0.998279872872372,9,232,"negative regulation of transferase activity","BP",1
"15316","GO:0070973",0.00600601716900731,0.999825936176652,2,7,"protein localization to endoplasmic reticulum exit site","BP",1
"17839","GO:0120283",0.00601072257109229,0.999834834193834,2,6,"protein serine/threonine kinase binding","MF",1
"13252","GO:0051496",0.00618476034995093,0.999186914156989,4,49,"positive regulation of stress fiber assembly","BP",1
"7495","GO:0031338",0.00644587178484199,0.999465988516301,3,24,"regulation of vesicle fusion","BP",1
"4349","GO:0009595",0.00686789394403436,0.999415685932196,3,25,"detection of biotic stimulus","BP",1
"7502","GO:0031345",0.00699147976064842,0.998031127955493,8,180,"negative regulation of cell projection organization","BP",1
"1532","GO:0003677",0.00710610455064888,0.99580318842208,41,1873,"DNA binding","MF",1
"11306","GO:0045159",0.00714568017251646,0.99976471161024,2,8,"myosin II binding","MF",1
"15314","GO:0070971",0.00719338335217632,0.999377626209133,3,25,"endoplasmic reticulum exit site","CC",1
"3277","GO:0006810",0.00719494216035383,0.995349202616428,66,3491,"transport","BP",1
"13196","GO:0051384",0.00734694360280974,0.99897836010343,4,57,"response to glucocorticoid","BP",1
"7082","GO:0030424",0.00735711890947421,0.996656688715563,18,605,"axon","CC",1
"13699","GO:0060021",0.00768277573623367,0.998581617223073,5,77,"roof of mouth development","BP",1
"13052","GO:0051139",0.00774138144899577,0.999734265935254,2,8,"metal ion:proton antiporter activity","MF",1
"6981","GO:0030234",0.0079090151529356,0.996017324894237,23,917,"enzyme regulator activity","MF",1
"3466","GO:0007154",0.00803242775242412,0.994653460738695,80,4340,"cell communication","BP",1
"7325","GO:0031032",0.00812153115451014,0.997653726487472,8,179,"actomyosin structure organization","BP",1
"13714","GO:0060038",0.00818370293580284,0.998832050859591,4,51,"cardiac muscle cell proliferation","BP",1
"13616","GO:0055008",0.00821202046900452,0.998824742526413,4,53,"cardiac muscle tissue morphogenesis","BP",1
"4864","GO:0010944",0.00827123968468106,0.999697876489877,2,9,"negative regulation of transcription by competitive promoter binding","BP",1
"10861","GO:0043547",0.00849602865102188,0.997307297653868,9,214,"positive regulation of GTPase activity","BP",1
"3445","GO:0007093",0.00849615001555976,0.998054388337692,6,127,"mitotic cell cycle checkpoint signaling","BP",1
"10540","GO:0043005",0.00883906539919185,0.995111660048115,30,1246,"neuron projection","CC",1
"3405","GO:0007018",0.00903720325837665,0.996708157167718,11,338,"microtubule-based movement","BP",1
"10531","GO:0042995",0.00915148903627775,0.994393804795323,45,2128,"cell projection","CC",1
"19507","GO:1903861",0.00945233779190233,0.999093552731164,3,26,"positive regulation of dendrite extension","BP",1
"16482","GO:0090316",0.0095457587230032,0.997760171019207,6,125,"positive regulation of intracellular protein transport","BP",1
"5073","GO:0015031",0.00961966802716869,0.994642740281629,30,1357,"protein transport","BP",1
"6383","GO:0019799",0.00976921332528839,1,1,1,"tubulin N-acetyltransferase activity","MF",1
"12497","GO:0048570",0.00984310012055552,0.999597862484149,2,10,"notochord morphogenesis","BP",1
"2684","GO:0005891",0.00985805789063857,0.999027351063451,3,31,"voltage-gated calcium channel complex","CC",1
"10360","GO:0042586",0.0100381523564172,1,1,1,"peptide deformylase activity","MF",1
"13248","GO:0051492",0.0100577683334542,0.998011843615836,5,84,"regulation of stress fiber assembly","BP",1
"11922","GO:0046579",0.0101100353646087,0.998464799459121,4,52,"positive regulation of Ras protein signal transduction","BP",1
"4219","GO:0009187",0.0103580503422463,0.99896967477726,3,27,"cyclic nucleotide metabolic process","BP",1
"4647","GO:0010638",0.0103776552371291,0.995624796230736,14,468,"positive regulation of organelle organization","BP",1
"7793","GO:0031960",0.0103876708929498,0.998397460587698,4,63,"response to corticosteroid","BP",1
"9125","GO:0034703",0.0104361402265486,0.997154321818539,7,154,"cation channel complex","CC",1
"1406","GO:0003193",0.0104671297391625,1,1,1,"pulmonary valve formation","BP",1
"9646","GO:0035922",0.0104671297391625,1,1,1,"foramen ovale closure","BP",1
"9815","GO:0036306",0.0104671297391625,1,1,1,"embryonic heart tube elongation","BP",1
"14083","GO:0060577",0.0104671297391625,1,1,1,"pulmonary vein morphogenesis","BP",1
"19505","GO:1903859",0.0105038273636678,0.998949794171295,3,27,"regulation of dendrite extension","BP",1
"11351","GO:0045234",0.0105258932442113,1,1,1,"protein palmitoleylation","BP",1
"18727","GO:1902163",0.0105827362555225,1,1,1,"negative regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","BP",1
"20624","GO:1990298",0.0105850993543355,1,1,1,"bub1-bub3 complex","CC",1
"11008","GO:0044087",0.0106465150943086,0.994578594041657,22,851,"regulation of cellular component biogenesis","BP",1
"287","GO:0000806",0.0106817313453862,1,1,1,"Y chromosome","CC",1
"16699","GO:0097123",0.0106817313453862,1,1,1,"cyclin A1-CDK2 complex","CC",1
"7922","GO:0032207",0.0107999731439202,1,1,1,"regulation of telomere maintenance via recombination","BP",1
"7923","GO:0032208",0.0107999731439202,1,1,1,"negative regulation of telomere maintenance via recombination","BP",1
