"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2522","GO:0005634",3.1041777740357e-12,1,430,6096,"nucleus","CC",6.71837195634546e-08
"10682","GO:0043231",6.55732818292587e-11,1,593,9545,"intracellular membrane-bounded organelle","CC",7.09601269315323e-07
"10678","GO:0043227",4.81235350596542e-10,1,606,9892,"membrane-bounded organelle","CC",3.47179223098698e-06
"10680","GO:0043229",1.83068049917082e-09,1,631,10379,"intracellular organelle","CC",9.90535451088853e-06
"10677","GO:0043226",6.94158939568421e-09,1,638,10583,"organelle","CC",2.87843918589826e-05
"2521","GO:0005622",7.97977873464379e-09,1,684,11557,"intracellular anatomical structure","CC",2.87843918589826e-05
"7807","GO:0031981",1.11072659353762e-08,1,265,3518,"nuclear lumen","CC",3.43420795199066e-05
"1523","GO:0003676",1.59979707148105e-08,1,222,2852,"nucleic acid binding","MF",4.32805100225804e-05
"1544","GO:0003723",3.12857173027975e-08,1,92,1010,"RNA binding","MF",7.52351977316052e-05
"7805","GO:0031974",4.88879552872138e-08,1,279,3908,"membrane-enclosed lumen","CC",8.81735013567641e-05
"10684","GO:0043233",4.88879552872138e-08,1,279,3908,"organelle lumen","CC",8.81735013567641e-05
"14835","GO:0070013",4.88879552872138e-08,1,279,3908,"intracellular organelle lumen","CC",8.81735013567641e-05
"2532","GO:0005654",2.33919632687975e-07,1,237,3156,"nucleoplasm","CC",0.00038944020078968
"16519","GO:0090304",3.0480154834658e-07,1,287,4059,"nucleic acid metabolic process","BP",0.000471201422204645
"5456","GO:0016070",1.3886847670679e-06,0.999999432499159,256,3566,"RNA metabolic process","BP",0.00200368696091004
"2972","GO:0006396",1.74702945763605e-06,0.999999235594057,72,818,"RNA processing","BP",0.00236318490947607
"10641","GO:0043170",3.9805685229602e-06,0.99999753697222,455,7248,"macromolecule metabolic process","BP",0.00506773203190751
"18503","GO:1901360",5.00543001627442e-06,0.999996755354214,316,4732,"organic cyclic compound metabolic process","BP",0.00601847343567929
"11049","GO:0044238",7.87293794035821e-06,0.999994657477503,485,7918,"primary metabolic process","BP",0.00896810504437751
"2827","GO:0006139",8.82559342050986e-06,0.99999396664438,298,4412,"nucleobase-containing compound metabolic process","BP",0.00955061592000474
"16773","GO:0097159",1.0514192107528e-05,0.99999276882187,314,4577,"organic cyclic compound binding","MF",0.0108361266563442
"3272","GO:0006807",1.18921823646497e-05,0.999991714467525,462,7492,"nitrogen compound metabolic process","BP",0.011699204678096
"11048","GO:0044237",1.34452041134204e-05,0.999990635388926,490,8091,"cellular metabolic process","BP",0.0126519370707286
"4461","GO:0009987",1.44837702739025e-05,0.999991626873436,706,12286,"cellular process","BP",0.0130613433349197
"11891","GO:0046483",1.51310999514247e-05,0.999989436551668,302,4519,"heterocycle metabolic process","BP",0.0130992958499474
"18506","GO:1901363",1.79367370307849e-05,0.999987320955997,310,4532,"heterocyclic compound binding","MF",0.0149309538291261
"9087","GO:0034641",2.09532104819975e-05,0.999985100206677,326,5064,"cellular nitrogen compound metabolic process","BP",0.0167959383134026
"3227","GO:0006725",2.63810672425573e-05,0.999981163456393,303,4569,"cellular aromatic compound metabolic process","BP",0.0203916227975238
"3751","GO:0008152",3.34047817905598e-05,0.999975879143739,522,8798,"metabolic process","BP",0.0249303342170029
"2573","GO:0005737",3.56155743517525e-05,0.999974427663953,555,9411,"cytoplasm","CC",0.025694262523166
"4562","GO:0010467",5.05910355270692e-05,0.99996328860693,310,4776,"gene expression","BP",0.0353207026423341
"15758","GO:0071704",0.000100421536781542,0.999925198367211,501,8437,"organic substance metabolic process","BP",0.0679194787675907
"16233","GO:0080090",0.000112439662219177,0.99991682147102,308,4577,"regulation of primary metabolic process","BP",0.0737433821033228
"1524","GO:0003677",0.000121219547162878,0.99991772788336,149,1897,"DNA binding","MF",0.0766018641230074
"12797","GO:0050684",0.000123876784378564,0.999960488317684,19,131,"regulation of mRNA processing","BP",0.0766018641230074
"3887","GO:0008380",0.000144377742911086,0.9999342627579,35,365,"RNA splicing","BP",0.0867990969395731
"12317","GO:0048024",0.000153504121802491,0.999958120152301,15,95,"regulation of mRNA splicing, via spliceosome","BP",0.0890752554800732
"2460","GO:0005488",0.000157884849895778,0.999885565347234,621,10481,"binding","MF",0.0890752554800732
"5457","GO:0016071",0.000160510787031505,0.999912075901144,57,642,"mRNA metabolic process","BP",0.0890752554800732
"10679","GO:0043228",0.000199820551419754,0.999852344921324,260,3845,"non-membrane-bounded organelle","CC",0.105480882789701
"10683","GO:0043232",0.000199820551419754,0.999852344921324,260,3845,"intracellular non-membrane-bounded organelle","CC",0.105480882789701
"10824","GO:0043484",0.000217086381017968,0.999927178185913,19,143,"regulation of RNA splicing","BP",0.111866679627902
"3046","GO:0006498",0.00022510691563881,0.999992723442449,4,7,"N-terminal protein lipidation","BP",0.113302069190018
"5721","GO:0016604",0.000238196746414425,0.999863654448458,63,674,"nuclear body","CC",0.117165731423804
"12484","GO:0048519",0.000258439044190838,0.999805991807486,295,4407,"negative regulation of biological process","BP",0.124297694076051
"167","GO:0000375",0.000282083095514046,0.999883698678621,26,251,"RNA splicing, via transesterification reactions","BP",0.127190092421052
"168","GO:0000377",0.000282083095514046,0.999883698678621,26,251,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0.127190092421052
"181","GO:0000398",0.000282083095514046,0.999883698678621,26,251,"mRNA splicing, via spliceosome","BP",0.127190092421052
"13090","GO:0051171",0.000346526492531759,0.999738212378059,296,4434,"regulation of nitrogen compound metabolic process","BP",0.153058630160507
"2629","GO:0005813",0.00037347506835987,0.999791532993242,54,584,"centrosome","CC",0.161662418090253
"2973","GO:0006397",0.000426208529508975,0.999785013512187,39,426,"mRNA processing","BP",0.180871200081623
"4320","GO:0009409",0.0004402817326344,0.999926141681243,8,39,"response to cold","BP",0.183250337296275
"6443","GO:0019904",0.000473421622830871,0.999718704577438,65,714,"protein domain specific binding","MF",0.193325739300539
"13878","GO:0060255",0.000721378259557963,0.999444336603145,315,4855,"regulation of macromolecule metabolic process","BP",0.275914974368314
"13130","GO:0051252",0.000724430257713583,0.999462511752884,204,2887,"regulation of RNA metabolic process","BP",0.275914974368314
"3047","GO:0006499",0.000726662363766293,0.999989115148093,3,4,"N-terminal protein myristoylation","BP",0.275914974368314
"6100","GO:0018377",0.000726662363766293,0.999989115148093,3,4,"protein myristoylation","BP",0.275914974368314
"12848","GO:0050794",0.000788253572538915,0.99938851938628,505,8189,"regulation of cellular process","BP",0.294140897766547
"6212","GO:0019222",0.000842238989521532,0.999346758505711,337,5271,"regulation of metabolic process","BP",0.308958956783297
"12886","GO:0050853",0.000861959873799855,0.999839487215981,8,39,"B cell receptor signaling pathway","BP",0.310923292477504
"5257","GO:0015630",0.000889195076587682,0.999412947993405,92,1147,"microtubule cytoskeleton","CC",0.315489328567003
"19286","GO:1903311",0.000927769279448238,0.999565339436535,29,270,"regulation of mRNA metabolic process","BP",0.323866298630616
"4427","GO:0009892",0.00095409932442271,0.9993008078528,173,2457,"negative regulation of metabolic process","BP",0.324126471393104
"5694","GO:0016570",0.00102450297212381,0.9994298692638,46,449,"histone modification","BP",0.324126471393104
"4318","GO:0009407",0.00106329896358686,1,2,2,"toxin catabolic process","BP",0.324126471393104
"10774","GO:0043385",0.00106329896358686,1,2,2,"mycotoxin metabolic process","BP",0.324126471393104
"10775","GO:0043387",0.00106329896358686,1,2,2,"mycotoxin catabolic process","BP",0.324126471393104
"11799","GO:0046222",0.00106329896358686,1,2,2,"aflatoxin metabolic process","BP",0.324126471393104
"11800","GO:0046223",0.00106329896358686,1,2,2,"aflatoxin catabolic process","BP",0.324126471393104
"18510","GO:1901376",0.00106329896358686,1,2,2,"organic heteropentacyclic compound metabolic process","BP",0.324126471393104
