"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"1","GO:0003723",7.58391439755111e-18,1,142,998,"RNA binding","MF",1.62728051228254e-13
"2","GO:0043227",1.03768511927412e-16,1,795,9658,"membrane-bounded organelle","CC",9.41310789813784e-13
"3","GO:0005622",1.33879451840962e-16,1,896,11271,"intracellular anatomical structure","CC",9.41310789813784e-13
"4","GO:0043229",1.75478545894353e-16,1,827,10137,"intracellular organelle","CC",9.41310789813784e-13
"5","GO:0097159",2.46200417921207e-16,1,446,4474,"organic cyclic compound binding","MF",1.05654447346707e-12
"6","GO:1901363",4.26525966622694e-16,1,442,4433,"heterocyclic compound binding","MF",1.52532794430386e-12
"7","GO:0043226",6.16851018263154e-16,1,837,10332,"organelle","CC",1.89082461412464e-12
"8","GO:0005634",1.81320377104365e-15,1,548,5985,"nucleus","CC",4.86323916441045e-12
"9","GO:0043231",3.8614585227443e-15,1,768,9330,"intracellular membrane-bounded organelle","CC",9.20614616916938e-12
"10","GO:0005737",4.90018887486235e-14,1,751,9179,"cytoplasm","CC",1.05143352687921e-10
"11","GO:0031981",8.96650705154781e-14,1,350,3462,"nuclear lumen","CC",1.7490394709551e-10
"12","GO:0005829",1.80952933044753e-13,1,327,3235,"cytosol","CC",3.23558923695106e-10
"13","GO:0031974",3.87025984088211e-13,1,372,3846,"membrane-enclosed lumen","CC",5.53627769372049e-10
"14","GO:0043233",3.87025984088211e-13,1,372,3846,"organelle lumen","CC",5.53627769372049e-10
"15","GO:0070013",3.87025984088211e-13,1,372,3846,"intracellular organelle lumen","CC",5.53627769372049e-10
"16","GO:0005654",1.18843927498339e-12,1,318,3102,"nucleoplasm","CC",1.59377134520741e-09
"17","GO:0003729",1.61300507002207e-12,1,57,294,"mRNA binding","MF",2.03589704632138e-09
"18","GO:0043228",2.88547878879411e-12,1,364,3773,"non-membrane-bounded organelle","CC",3.25861675637659e-09
"19","GO:0043232",2.88547878879411e-12,1,364,3773,"intracellular non-membrane-bounded organelle","CC",3.25861675637659e-09
"20","GO:0032991",7.60836125340497e-12,1,412,4559,"protein-containing complex","CC",8.16263037071552e-09
"21","GO:0034641",8.49901557906849e-12,1,447,4949,"cellular nitrogen compound metabolic process","BP",8.68397034667013e-09
"22","GO:1990904",1.41615262250877e-11,1,84,676,"ribonucleoprotein complex","CC",1.3811994009623e-08
"23","GO:0009987",1.4971949429633e-11,1,915,11901,"cellular process","BP",1.39675269092015e-08
"24","GO:0003676",3.16562208116105e-11,1,286,2798,"nucleic acid binding","MF",2.83019804147802e-08
"25","GO:0005488",4.63288300392675e-11,1,816,10162,"binding","MF",3.97631082461025e-08
"26","GO:0110165",5.53978117205869e-11,1,967,12882,"cellular anatomical entity","CC",4.57181094649474e-08
"27","GO:0005515",7.89928561779325e-11,1,617,7212,"protein binding","MF",6.27759153707369e-08
"28","GO:1903311",8.36960951786257e-11,1,52,268,"regulation of mRNA metabolic process","BP",6.41381112231347e-08
"29","GO:0006807",1.13862127145016e-10,1,613,7308,"nitrogen compound metabolic process","BP",8.42461952465726e-08
"30","GO:0006396",1.50194224422618e-10,1,103,812,"RNA processing","BP",1.07423915781204e-07
"31","GO:0044260",2.94363071625066e-10,1,409,4502,"cellular macromolecule metabolic process","BP",2.03746723479324e-07
"32","GO:0043170",3.40993508226997e-10,1,595,7063,"macromolecule metabolic process","BP",2.28646803313334e-07
"33","GO:0140513",4.6156749489057e-10,1,137,1154,"nuclear protein-containing complex","CC",3.00116779935362e-07
"34","GO:0046483",7.79298154139625e-10,1,402,4415,"heterocycle metabolic process","BP",4.91805896863939e-07
"35","GO:0044238",9.34531726185436e-10,1,636,7724,"primary metabolic process","BP",5.72921349964597e-07
"36","GO:0044237",1.01137650823423e-09,1,645,7894,"cellular metabolic process","BP",6.02808492699495e-07
"37","GO:0006139",1.04246489712155e-09,1,394,4311,"nucleobase-containing compound metabolic process","BP",6.04545116149652e-07
"38","GO:0043168",1.12513493885725e-09,1,215,1959,"anion binding","MF",6.22517378301024e-07
"39","GO:0071704",1.1314805310034e-09,1,665,8205,"organic substance metabolic process","BP",6.22517378301024e-07
"40","GO:0006725",1.17108637092328e-09,1,404,4458,"cellular aromatic compound metabolic process","BP",6.27205807678218e-07
"41","GO:0000166",1.2276946414916e-09,1,200,1796,"nucleotide binding","MF",6.27205807678218e-07
"42","GO:1901265",1.2276946414916e-09,1,200,1796,"nucleoside phosphate binding","MF",6.27205807678218e-07
"43","GO:0048024",1.69372749067829e-09,0.999999999683964,26,94,"regulation of mRNA splicing, via spliceosome","BP",8.45170017848465e-07
"44","GO:0017076",2.1032677046254e-09,1,183,1591,"purine nucleotide binding","MF",1.02567761677607e-06
"45","GO:0032553",2.22593748035183e-09,1,183,1591,"ribonucleotide binding","MF",1.06137645590909e-06
"46","GO:0032555",3.44496834814098e-09,1,181,1577,"purine ribonucleotide binding","MF",1.60692795317524e-06
"47","GO:1901360",4.12014354749917e-09,1,412,4618,"organic cyclic compound metabolic process","BP",1.88097702337638e-06
"48","GO:0035639",4.23520460285862e-09,1,175,1510,"purine ribonucleoside triphosphate binding","MF",1.89322469090703e-06
"49","GO:0044267",4.41532696612315e-09,1,346,3756,"cellular protein metabolic process","BP",1.93346266759397e-06
"50","GO:0051171",7.48986655448363e-09,1,396,4317,"regulation of nitrogen compound metabolic process","BP",3.21420133319111e-06
"51","GO:0036094",7.74902993894305e-09,1,215,2034,"small molecule binding","MF",3.2602144196059e-06
"52","GO:0090304",9.16985544849132e-09,1,365,3969,"nucleic acid metabolic process","BP",3.78379977612073e-06
"53","GO:0016071",1.19790537527288e-08,1,84,637,"mRNA metabolic process","BP",4.84970861079817e-06
"54","GO:0080090",1.33765696142034e-08,1,405,4457,"regulation of primary metabolic process","BP",5.30927751797015e-06
"55","GO:0017111",1.36090909021932e-08,1,70,484,"nucleoside-triphosphatase activity","MF",5.30927751797015e-06
"56","GO:0016818",1.51965127741117e-08,1,75,542,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF",5.82270668918064e-06
"57","GO:0016462",1.5593492843691e-08,1,74,533,"pyrophosphatase activity","MF",5.86999256047506e-06
"58","GO:0043484",1.59460555745955e-08,0.999999995902468,31,142,"regulation of RNA splicing","BP",5.89921576662235e-06
"59","GO:0016817",1.62725592384833e-08,1,75,543,"hydrolase activity, acting on acid anhydrides","MF",5.91797124712093e-06
"60","GO:0008152",1.86768764945563e-08,1,680,8566,"metabolic process","BP",6.67916231572823e-06
"61","GO:0006412",2.20317518805165e-08,1,71,584,"translation","BP",7.74975901803676e-06
"62","GO:0043043",3.96921072913106e-08,1,72,602,"peptide biosynthetic process","BP",1.37366700991879e-05
"63","GO:0048522",4.62067687857348e-08,1,404,4506,"positive regulation of cellular process","BP",1.57110306888304e-05
"64","GO:0008380",4.68614421440624e-08,1,53,364,"RNA splicing","BP",1.57110306888304e-05
"65","GO:0043604",5.45642052756653e-08,1,80,691,"amide biosynthetic process","BP",1.80120638861531e-05
"66","GO:0030554",6.41346925587075e-08,1,153,1302,"adenyl nucleotide binding","MF",2.08505772459422e-05
"67","GO:0050684",7.07217879112975e-08,0.999999981479712,29,130,"regulation of mRNA processing","BP",2.23279869200074e-05
"68","GO:0071840",7.07602698681319e-08,1,446,5074,"cellular component organization or biogenesis","BP",2.23279869200074e-05
"69","GO:0016070",1.01074180058204e-07,1,322,3486,"RNA metabolic process","BP",3.14311403117231e-05
"70","GO:0032559",1.09190791244377e-07,1,151,1289,"adenyl ribonucleotide binding","MF",3.34700972532942e-05
"71","GO:0050794",1.24021690454408e-07,1,652,7935,"regulation of cellular process","BP",3.74807522828203e-05
"72","GO:0006996",1.33626601615996e-07,1,300,3205,"organelle organization","BP",3.98225832065894e-05
"73","GO:0031323",1.35690682068556e-07,1,408,4589,"regulation of cellular metabolic process","BP",3.9883766645822e-05
"74","GO:0010467",1.66435063219443e-07,1,400,4644,"gene expression","BP",4.82594209662107e-05
"75","GO:0005524",1.72585311563968e-07,1,145,1228,"ATP binding","MF",4.92853658093898e-05
"76","GO:0006518",1.74567171622949e-07,1,82,742,"peptide metabolic process","BP",4.92853658093898e-05
"77","GO:0060255",1.9845288256431e-07,1,414,4716,"regulation of macromolecule metabolic process","BP",5.53013441711999e-05
"78","GO:0097367",2.03131192437083e-07,1,191,1807,"carbohydrate derivative binding","MF",5.5879307642596e-05
"79","GO:0010608",2.24531564615642e-07,1,63,471,"post-transcriptional regulation of gene expression","BP",6.09844782526309e-05
"80","GO:0006397",3.12775806462803e-07,1,58,422,"mRNA processing","BP",8.38903809909045e-05
"81","GO:0044271",4.32652193913059e-07,1,319,3573,"cellular nitrogen compound biosynthetic process","BP",0.00011461010030608
"82","GO:0019538",8.70502288859331e-07,0.999999634552739,362,4143,"protein metabolic process","BP",0.000227784970878715
"83","GO:0016887",9.77745862172239e-07,0.999999640788219,41,234,"ATP hydrolysis activity","MF",0.000252764975477467
"84","GO:0000381",1.30097802287118e-06,0.999999771951179,16,52,"regulation of alternative mRNA splicing, via spliceosome","BP",0.000332322445675558
"85","GO:0003730",1.64718201116991e-06,0.999999601993757,21,92,"mRNA 3'-UTR binding","MF",0.000415806875454973
"86","GO:0070972",1.76160766438709e-06,0.999999650088624,17,69,"protein localization to endoplasmic reticulum","BP",0.000419545862868703
"87","GO:0048518",1.76650924552506e-06,0.999999008873507,420,4852,"positive regulation of biological process","BP",0.000419545862868703
"88","GO:0000375",1.77804896584953e-06,0.999999337886878,38,250,"RNA splicing, via transesterification reactions","BP",0.000419545862868703
"89","GO:0000377",1.77804896584953e-06,0.999999337886878,38,250,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",0.000419545862868703
"90","GO:0000398",1.77804896584953e-06,0.999999337886878,38,250,"mRNA splicing, via spliceosome","BP",0.000419545862868703
"91","GO:0019222",1.77931087855022e-06,0.99999899982564,439,5127,"regulation of metabolic process","BP",0.000419545862868703
"92","GO:0140657",1.80118437960685e-06,0.999999236632361,66,460,"ATP-dependent activity","MF",0.000420087100361133
"93","GO:0000380",2.07600991630964e-06,0.999999564118715,18,68,"alternative mRNA splicing, via spliceosome","BP",0.000478977900798452
"94","GO:0000785",2.78351801884327e-06,0.999998784051557,70,533,"chromatin","CC",0.000635382405641702
"95","GO:0099080",3.81982829470114e-06,0.999997935564902,114,1022,"supramolecular complex","CC",0.000862758481256866
"96","GO:0051173",4.09583317603587e-06,0.999997402454977,231,2394,"positive regulation of nitrogen compound metabolic process","BP",0.000914393873759337
"97","GO:0044085",4.13367226334789e-06,0.999997371894955,235,2542,"cellular component biogenesis","BP",0.000914393873759337
"98","GO:0050789",5.27206064991133e-06,0.999996471299905,667,8293,"regulation of biological process","BP",0.00115431229964436
"99","GO:0016043",5.5070133233943e-06,0.999996195011504,424,4888,"cellular component organization","BP",0.00119357560484921
"100","GO:1901564",5.79909519312383e-06,0.999995917860976,403,4816,"organonitrogen compound metabolic process","BP",0.00124431185558858
"101","GO:0033119",5.94754198579272e-06,0.999999337478647,10,28,"negative regulation of RNA splicing","BP",0.00126352879593222
"102","GO:0048519",7.26105555412344e-06,0.999994900627404,373,4269,"negative regulation of biological process","BP",0.00152745557867477
"103","GO:0009058",7.54725125012286e-06,0.99999469446086,375,4400,"biosynthetic process","BP",0.00157224631139695
"104","GO:0009892",7.8413290689819e-06,0.999994749239505,226,2393,"negative regulation of metabolic process","BP",0.00161780190224177
"105","GO:0005844",8.40277515951118e-06,0.999998278009048,15,73,"polysome","CC",0.00171712711045363
"106","GO:0019899",8.78026099552597e-06,0.999994334151808,193,1930,"enzyme binding","MF",0.00176274418479129
"107","GO:0005730",8.79030748812362e-06,0.999995245543136,87,788,"nucleolus","CC",0.00176274418479129
"108","GO:0051276",9.45350140178529e-06,0.999994749148399,97,835,"chromosome organization","BP",0.00187818314424173
"109","GO:0048025",9.64315573145084e-06,0.999999046862781,9,23,"negative regulation of mRNA splicing, via spliceosome","BP",0.00189319956143859
"110","GO:1902494",9.70554838785686e-06,0.999994088533042,133,1355,"catalytic complex","CC",0.00189319956143859
"111","GO:0007017",9.88021983407968e-06,0.999994586895034,91,788,"microtubule-based process","BP",0.00190990880162025
"112","GO:0048523",1.00023759431648e-05,0.999992892296256,346,3905,"negative regulation of cellular process","BP",0.00191042770445175
"113","GO:0044249",1.00609745352588e-05,0.999992820080406,365,4273,"cellular biosynthetic process","BP",0.00191042770445175
"114","GO:0032268",1.09052327118242e-05,0.999992987483272,183,1879,"regulation of cellular protein metabolic process","BP",0.00205257524822466
"115","GO:0005874",1.14400629548844e-05,0.999994630571445,54,394,"microtubule","CC",0.00212669212411763
"116","GO:0061061",1.14972403596796e-05,0.999994187620988,67,536,"muscle structure development","BP",0.00212669212411763
"117","GO:0009057",1.20447408611988e-05,0.9999927591282,122,1169,"macromolecule catabolic process","BP",0.00220892311674139
"118","GO:1901576",1.23731828240242e-05,0.999991141223896,368,4325,"organic substance biosynthetic process","BP",0.00224992698182277
"119","GO:0006417",1.26382137302023e-05,0.999994347309135,47,345,"regulation of translation","BP",0.00227880800007522
"120","GO:0051246",1.29201115933615e-05,0.999991454252817,194,2019,"regulation of protein metabolic process","BP",0.00231022362048964
"121","GO:0045185",1.32042129270879e-05,0.999996557468157,19,91,"maintenance of protein location","BP",0.00234151071716137
"122","GO:2000767",1.54749584774903e-05,0.999999135570434,7,12,"positive regulation of cytoplasmic translation","BP",0.00272169003320908
"123","GO:0034660",1.74794996584771e-05,0.999991473209586,57,483,"ncRNA metabolic process","BP",0.00304924897700767
"124","GO:0043603",1.84475933921701e-05,0.999989332529687,92,934,"cellular amide metabolic process","BP",0.00318246829096421
"125","GO:0022613",1.85398022263376e-05,0.999991512824952,46,386,"ribonucleoprotein complex biogenesis","BP",0.00318246829096421
"126","GO:1903312",2.07585675187993e-05,0.999994428123067,19,87,"negative regulation of mRNA metabolic process","BP",0.00350722502521242
"127","GO:0005694",2.07586138883337e-05,0.999987400034838,113,1061,"chromosome","CC",0.00350722502521242
"128","GO:0045787",2.24237633595633e-05,0.999990079450182,42,288,"positive regulation of cell cycle","BP",0.00375895851879805
"129","GO:0070717",2.33828416158781e-05,0.999996929496504,10,28,"poly-purine tract binding","MF",0.0038893459887744
"130","GO:0044265",2.43050101747243e-05,0.999985287475338,106,1001,"cellular macromolecule catabolic process","BP",0.00401163541014661
"131","GO:0031325",2.5507113222932e-05,0.999982118514195,241,2579,"positive regulation of cellular metabolic process","BP",0.00417790937728589
"132","GO:0019219",2.9216063887096e-05,0.999979006754191,281,3078,"regulation of nucleobase-containing compound metabolic process","BP",0.00474915971837439
"133","GO:0006401",2.95967729784183e-05,0.999987457165632,37,253,"RNA catabolic process","BP",0.00477487186314226
"134","GO:0010605",3.02652481744487e-05,0.999979009060628,208,2210,"negative regulation of macromolecule metabolic process","BP",0.00484627932894886
"135","GO:0005048",3.10388379708616e-05,0.999994573615301,12,40,"signal sequence binding","MF",0.00493333589882057
"136","GO:1904949",3.18820589118351e-05,0.999991134044062,19,89,"ATPase complex","CC",0.00503009807405328
"137","GO:0050686",3.64291240805203e-05,0.999994806781343,10,31,"negative regulation of mRNA processing","BP",0.005705545367852
"138","GO:0045182",3.73728241818718e-05,0.999988132029073,22,125,"translation regulator activity","MF",0.005810932525148
"139","GO:0090079",3.8011386856019e-05,0.999989604825009,18,93,"translation regulator activity, nucleic acid binding","MF",0.00586770019978129
"140","GO:0042788",4.25329068088762e-05,0.999995056466554,8,34,"polysomal ribosome","CC",0.00650192935871233
"141","GO:1901566",4.27260120044013e-05,0.99997278679294,122,1320,"organonitrogen compound biosynthetic process","BP",0.00650192935871233
"142","GO:0006616",4.3235670985983e-05,0.999998599047478,5,8,"SRP-dependent cotranslational protein targeting to membrane, translocation","BP",0.00653315346722702
"143","GO:0019904",4.56241120861328e-05,0.999973574498245,83,709,"protein domain specific binding","MF",0.006845850161064
"144","GO:0015630",4.89646648174863e-05,0.999968981268406,118,1135,"microtubule cytoskeleton","CC",0.00729607509020003
"145","GO:0099111",6.03256995505329e-05,0.999976169474893,30,186,"microtubule-based transport","BP",0.00892695541555713
"146","GO:0005635",6.44091606676672e-05,0.999968099854718,49,384,"nuclear envelope","CC",0.00946594082497352
"147","GO:0065007",6.74597910270754e-05,0.999948902048646,687,8703,"biological regulation","BP",0.0098468349392378
"148","GO:0010604",6.79371522458124e-05,0.999950829465325,244,2671,"positive regulation of macromolecule metabolic process","BP",0.00984950997120538
"149","GO:0014069",7.60487158941977e-05,0.999964736081591,41,274,"postsynaptic density","CC",0.0109515254828309
"150","GO:0071013",7.94044084920542e-05,0.999978797921601,16,87,"catalytic step 2 spliceosome","CC",0.0113585359534267
"151","GO:0006402",8.0608384836718e-05,0.999966413719034,32,214,"mRNA catabolic process","BP",0.0114051839923736
"152","GO:0070603",8.07935856289691e-05,0.999976669300738,18,87,"SWI/SNF superfamily-type complex","CC",0.0114051839923736
"153","GO:0043487",8.14313506775237e-05,0.999969737252474,26,155,"regulation of RNA stability","BP",0.01142008164371
"154","GO:0034248",8.54485719080229e-05,0.999957009612607,49,394,"regulation of cellular amide metabolic process","BP",0.011905649398899
"155","GO:0031324",8.88755598671976e-05,0.999937569995351,189,1989,"negative regulation of cellular metabolic process","BP",0.0123032444391643
"156","GO:0034645",9.32786591817165e-05,0.99994297949808,91,931,"cellular macromolecule biosynthetic process","BP",0.0128300012183467
"157","GO:0031967",9.53788685236362e-05,0.999941600641767,91,978,"organelle envelope","CC",0.0129438692524218
"158","GO:0031975",9.53788685236362e-05,0.999941600641767,91,978,"envelope","CC",0.0129438692524218
"159","GO:0042254",9.59162609467805e-05,0.999958052037523,34,283,"ribosome biogenesis","BP",0.0129438692524218
"160","GO:0005681",9.85977224788247e-05,0.999962530607471,26,182,"spliceosomal complex","CC",0.0132225708201759
"161","GO:0045047",0.000101856621090931,0.999982697598281,10,39,"protein targeting to ER","BP",0.0135747671971932
"162","GO:0045935",0.000105044630151954,0.999928275650467,154,1554,"positive regulation of nucleobase-containing compound metabolic process","BP",0.0139132261059906
"163","GO:0010468",0.000110422756514752,0.999916848265952,320,3690,"regulation of gene expression","BP",0.0145358348867302
"164","GO:0016607",0.000111319901510897,0.999946696483016,42,307,"nuclear speck","CC",0.0145645800409714
"165","GO:0044270",0.000119373431106888,0.999940802483751,45,368,"cellular nitrogen compound catabolic process","BP",0.0154594303501535
"166","GO:0007018",0.0001196003839365,0.999941872356318,43,333,"microtubule-based movement","BP",0.0154594303501535
"167","GO:0033120",0.000123802275559503,0.999976284847093,11,42,"positive regulation of RNA splicing","BP",0.0159067390819177
"168","GO:0006325",0.000130552614370203,0.999928442794201,60,475,"chromatin organization","BP",0.0166742109913181
"169","GO:0036002",0.000133650065011677,0.999977108282095,10,34,"pre-mRNA binding","MF",0.0169688132837607
"170","GO:0009059",0.000136732815479337,0.999896993665833,308,3582,"macromolecule biosynthetic process","BP",0.0172580942455302
"171","GO:0032279",0.000137905685862984,0.999934035871979,41,281,"asymmetric synapse","CC",0.0173043409448072
"172","GO:0043488",0.000142718893890242,0.999947377480684,24,142,"regulation of mRNA stability","BP",0.0178041820128077
"173","GO:0048856",0.000143761119350886,0.999889660748036,386,4498,"anatomical structure development","BP",0.0178305337451559
"174","GO:0034655",0.000145134271372038,0.999928691418181,43,348,"nucleobase-containing compound catabolic process","BP",0.0178973911541943
"175","GO:0022607",0.000150048329156225,0.999891663171183,209,2309,"cellular component assembly","BP",0.0183976399926007
"176","GO:0099513",0.000152618771888405,0.999913534433798,65,552,"polymeric cytoskeletal fiber","CC",0.0186064828886904
"177","GO:0008092",0.000154907877495632,0.999902795086561,96,860,"cytoskeletal protein binding","MF",0.0187715756482443
"178","GO:1902498",0.000155722629696019,0.999997489875594,4,5,"regulation of protein autoubiquitination","BP",0.0187715756482443
"179","GO:0003727",0.0001573173163593,0.999955814954835,16,78,"single-stranded RNA binding","MF",0.0188578640062653
"180","GO:0099512",0.000168176702952887,0.999898746910378,80,723,"supramolecular fiber","CC",0.0200475973070006
"181","GO:0048731",0.000175061753905322,0.99986774339112,302,3361,"system development","BP",0.0207530389698702
"182","GO:0051252",0.000188213240748907,0.999860061052624,255,2813,"regulation of RNA metabolic process","BP",0.0221895137733477
"183","GO:0051649",0.000195175230630091,0.999862097582329,172,1825,"establishment of localization in cell","BP",0.0228845624242069
"184","GO:0099081",0.000200960139535747,0.999878139206706,80,726,"supramolecular polymer","CC",0.0234347919240137
"185","GO:0051641",0.000211526001317512,0.999844588426078,225,2468,"cellular localization","BP",0.0245335860014587
"186","GO:0061013",0.000213930477354325,0.999916760639268,25,156,"regulation of mRNA catabolic process","BP",0.0246790658741492
"187","GO:0051172",0.000226486049637142,0.99983866680331,177,1873,"negative regulation of nitrogen compound metabolic process","BP",0.02598776025168
"188","GO:0046700",0.000242884911050439,0.999876294033893,44,368,"heterocycle catabolic process","BP",0.0277211783851557
"189","GO:0031690",0.0002504726645377,0.999971253022194,7,19,"adrenergic receptor binding","MF",0.0282824557188773
"190","GO:0005856",0.000251195628602013,0.999820218237591,180,1901,"cytoskeleton","CC",0.0282824557188773
"191","GO:1990829",0.000251756957743653,1,3,3,"C-rich single-stranded DNA binding","MF",0.0282824557188773
"192","GO:0031698",0.000255605911136679,0.999986181110341,5,9,"beta-2 adrenergic receptor binding","MF",0.0284221233703072
"193","GO:0120025",0.000255907848951913,0.99981708023967,178,1861,"plasma membrane bounded cell projection","CC",0.0284221233703072
"194","GO:0099572",0.000258019246111042,0.999872436608163,41,291,"postsynaptic specialization","CC",0.0284221233703072
"195","GO:0060537",0.000258298646465485,0.999866346459048,46,361,"muscle tissue development","BP",0.0284221233703072
"196","GO:0010494",0.000261579131063821,0.999927142280836,15,68,"cytoplasmic stress granule","CC",0.0285631004238996
"197","GO:0016072",0.000262242195251351,0.999887179730258,29,232,"rRNA metabolic process","BP",0.0285631004238996
"198","GO:0009893",0.000272115695533596,0.999795584381381,260,2944,"positive regulation of metabolic process","BP",0.0294888206013352
"199","GO:0046907",0.000284107488664645,0.9998061461795,131,1353,"intracellular transport","BP",0.0306336401219964
"200","GO:1903313",0.000286530905397686,0.999897013719767,21,124,"positive regulation of mRNA metabolic process","BP",0.0306532817788914
"201","GO:2000765",0.000287976191249557,0.999959154861847,8,23,"regulation of cytoplasmic translation","BP",0.0306532817788914
"202","GO:0005952",0.000288575426170297,0.999983967402667,5,9,"cAMP-dependent protein kinase complex","CC",0.0306532817788914
"203","GO:0043209",0.000304324107971076,0.999872637913411,27,202,"myelin sheath","CC",0.032148699263187
"204","GO:0005871",0.000307172886691148,0.99992899979637,12,46,"kinesin complex","CC",0.032148699263187
"205","GO:0002181",0.000308223364611543,0.999914322176056,14,91,"cytoplasmic translation","BP",0.032148699263187
"206","GO:0090068",0.000308646690973413,0.99986267776882,31,214,"positive regulation of cell cycle process","BP",0.032148699263187
"207","GO:0034470",0.000323185693419266,0.999835479544832,42,374,"ncRNA processing","BP",0.0335004609840444
"208","GO:0031326",0.000349748522209014,0.999734608617018,273,3095,"regulation of cellular biosynthetic process","BP",0.0358228352578032
