"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"1521","GO:0003723",5.87034345969937e-19,1,135,996,"RNA binding","MF",1.2556077625951e-14
"16589","GO:0097159",7.53133122976383e-18,1,412,4449,"organic cyclic compound binding","MF",6.42174763772424e-14
"18289","GO:1901363",9.00707976678326e-18,1,409,4408,"heterocyclic compound binding","MF",6.42174763772424e-14
"2484","GO:0005622",3.24204594396429e-17,1,809,11177,"intracellular anatomical structure","CC",1.73360301738631e-13
"10560","GO:0043229",2.59315659518595e-16,1,746,10064,"intracellular organelle","CC",1.10930052828865e-12
"10557","GO:0043226",7.2968678004964e-16,1,755,10255,"organelle","CC",2.60121175641363e-12
"10558","GO:0043227",9.88899996745547e-15,1,711,9594,"membrane-bounded organelle","CC",3.02165457577007e-11
"2536","GO:0005737",3.78601761358327e-14,1,678,9092,"cytoplasm","CC",1.01223913421166e-10
"2600","GO:0005829",6.99617154405508e-14,1,300,3213,"cytosol","CC",1.66267903506438e-10
"10562","GO:0043231",8.23862716461432e-14,1,689,9273,"intracellular membrane-bounded organelle","CC",1.76215996423936e-10
"2485","GO:0005634",9.27849443337552e-14,1,491,5965,"nucleus","CC",1.80416106759517e-10
"20668","GO:1990904",3.26207023039474e-13,1,83,673,"ribonucleoprotein complex","CC",5.81436834649275e-10
"7725","GO:0031981",4.77973027180656e-13,1,317,3456,"nuclear lumen","CC",7.3397870542357e-10
"8363","GO:0032991",4.80419929680209e-13,1,381,4533,"protein-containing complex","CC",7.3397870542357e-10
"2426","GO:0005488",1.2243113116328e-12,1,742,10083,"binding","MF",1.74578630963426e-09
"7723","GO:0031974",2.82433636934691e-12,1,336,3837,"membrane-enclosed lumen","CC",3.29650761838123e-09
"10564","GO:0043233",2.82433636934691e-12,1,336,3837,"organelle lumen","CC",3.29650761838123e-09
"14678","GO:0070013",2.82433636934691e-12,1,336,3837,"intracellular organelle lumen","CC",3.29650761838123e-09
