"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Pcmtd1",6450.7152506731,-0.801889062578932,0.379774513025439,0.00094980984152951,0.00846432748280166,8519,2613,5473,3333,8201,8098,8756,13495,7708,1994,2486,6163
"Rrs1",32996.7181539723,-0.351367768616473,0.151498755034816,0.00621729301705803,0.0355523363170684,35156,23352,33975,36554,34076,33074,37356,52187,30135,31079,25610,28382
"Adhfe1",160.2372177005,0.505747461989076,0.285159052644967,0.00773948811593512,0.0419135656774389,78,148,260,297,108,115,84,167,112,180,234,203
"2610203C22Rik",789.56640174155,-0.702106450720969,0.14714095705765,4.9475325170287e-08,2.05029267489278e-06,974,438,572,662,875,1024,965,1301,729,718,502,791
"Mybl1",11140.138565218,-0.866922776356453,0.35880914362512,0.000345168118353273,0.00378547608459717,14123,5897,7795,7211,16762,13566,16028,16728,13797,3269,7109,9328
"Cspp1",4395.12483089466,-0.940132226517478,0.318335525803259,5.7664991414735e-05,0.00088714395082581,5776,2190,3408,2994,5819,5169,5691,8792,5154,1797,1926,3777
"Arfgef1",31571.9718464498,-0.585363830317927,0.271725903228827,0.00201300831256878,0.0150698933617475,36474,19297,27489,27976,41766,33466,42514,52548,35761,15771,16513,28231
"Ncoa2",22341.8991215682,-0.422134995264593,0.143877320594925,0.000643689817806228,0.00621147344205191,23942,14774,17284,23613,25786,26370,27224,29176,22124,19741,16435,23380
"Rdh10",3395.28983653148,-0.267792075498047,0.108469912722956,0.00708611198025232,0.039278002144835,3515,2358,2915,4139,3931,3210,4140,4219,3484,3476,2675,3146
"Eloc",20446.117867439,-0.4009384570239,0.192946910204146,0.00782995684093012,0.0422424101071038,25559,13149,19078,18735,24159,21118,25867,27752,21501,14598,13233,20338
"Gsta3",1018.57024158454,1.74009262044813,0.257397289430282,2.45154593570986e-13,2.77872793112973e-11,593,936,1935,1500,413,579,394,467,246,1838,1036,2797
"Lmbrd1",9108.15391539094,0.245090969575845,0.0910670589036512,0.00422734429006224,0.0264290943405829,7678,7713,9982,13478,7881,7378,8484,10075,7176,11731,9628,10847
"Phf3",29008.1128546779,-0.638478849119792,0.217401318297667,0.000147195799661685,0.00191830250037656,32176,17467,23735,26696,36151,32225,37057,48687,31714,17855,18369,26684
"Gm32229",147.808992610654,0.424958075587525,0.217545704165205,0.00876152186664974,0.0460336637488796,105,149,188,232,126,103,107,143,128,177,149,203
"Rab23",12425.7877089101,-0.490984078516195,0.114622297769534,2.12044405214235e-06,5.4690764242771e-05,14761,7659,10995,12765,12911,14507,13739,18648,11253,11830,9291,12390
"Bend6",922.225905731802,0.46093270895123,0.223415016332588,0.00534100949172693,0.0317334408091498,599,922,1361,1477,841,551,935,849,753,842,1073,1046
"Dst",65682.8915322391,-0.613162844740526,0.250770198310122,0.000781275092579972,0.0072332604550608,86150,32613,58333,52382,78949,74467,76331,119196,71848,39668,31560,67694
"4930568A12Rik",22.1591449557985,2.49493483033314,0.761152995592875,8.38618625533126e-07,2.43644722658757e-05,0,33,20,76,10,4,16,2,12,32,54,24
"Arhgef4",2017.01840688975,0.517220011418537,0.151852908871069,6.17023388838402e-05,0.000941649847984976,1609,1758,2177,2924,1731,1410,1892,1860,1560,3771,2070,2234
"Gm32790",224.555474026309,-0.76301649047262,0.249032614596673,5.74992833324736e-05,0.000885244105872717,311,133,131,168,234,349,240,301,252,210,139,216
"Gm39624",40.0966471489443,1.04734494297489,0.539901381319028,0.000702585393318022,0.0066814118423971,10,48,89,67,14,23,30,31,15,38,48,81
"Gm33280",988.986087295893,1.33698143868299,0.37928181685235,5.67519876950434e-06,0.000127276195719504,416,935,2509,1879,579,303,621,833,507,1059,1415,1200
"Neurl3",7314.08896814909,1.12992258008619,0.295797083341122,2.37681365243198e-06,6.04847153857356e-05,5094,7061,6411,11702,2888,5080,4011,4064,3226,19809,8993,14462
"Arid5a",3961.29759270518,1.44603530633999,0.2320925208302,1.56861089520349e-11,1.34253885149069e-09,1447,4610,6056,7946,1586,1366,1985,3488,1660,7170,6730,5991
"Gm33454",39.765542071713,0.581574354427053,0.376571245724163,0.00832490017136201,0.0442945525737858,20,40,50,71,37,19,36,34,21,38,59,67
"Cnnm4",10315.782728471,0.2312832981444,0.0901006905550334,0.00645028248726452,0.0364984586858135,7276,9776,9528,17239,9900,7313,11041,10120,9140,12873,13204,9460
"Sema4c",23340.8222233716,0.502615150769239,0.228738743212705,0.00292223773478038,0.0199513331743025,15248,23330,17550,39698,16264,19882,17901,17186,14351,36251,32459,40065
"Tmem131",48998.4254343962,-0.379711063978717,0.144406422833218,0.00220519934074929,0.0161230212608688,54666,32630,42943,53847,49840,51886,56471,74163,48643,46098,32793,50690
"Cnga3",1009.37384418476,1.0768154357758,0.296515563556556,4.8685930268039e-06,0.000112806107380167,527,970,1128,1604,498,900,449,683,369,1864,1080,2591
"Eif5b",67268.3300637405,-0.917771909680367,0.235941172189988,1.88028281671555e-06,4.9361563562334e-05,80184,35249,50557,55114,89620,75072,94845,119407,78961,34165,39715,52898
"Rev1",18021.1815947405,-0.647160574384802,0.174376889906707,8.00586154254179e-06,0.000170778139049398,19806,10700,14358,17680,21278,21780,22739,28965,18950,13485,11040,16636
"Creg2",1787.3999603955,-0.793037318296288,0.160089485769009,1.4837464696378e-08,6.94479458076672e-07,1994,1112,1202,1636,2560,1552,2790,2529,2351,1347,1295,1020
"Rfx8",45.7634102125066,1.3303175593896,0.539183833682565,0.000108451971790176,0.00151507621350313,8,60,86,97,31,8,26,34,33,61,83,41
"Gm29040",48.8622550380425,1.50108396829012,0.438622889968437,6.03951644174904e-06,0.000134297582467694,17,43,103,98,26,21,32,32,27,55,46,109
"LOC115487086",44.9282242249087,0.807039515084736,0.448775375845507,0.00198425531947048,0.0149025249978426,22,49,89,72,43,23,30,34,20,42,55,71
"Gm8251",397.987814148974,-2.70584337470035,0.440075614529582,1.54606047674582e-12,1.55862221811938e-10,869,52,70,63,558,628,631,839,654,35,49,185
"Tex30",12688.2697619475,-0.554318812748783,0.205664876922639,0.000519606813452195,0.00524585232127062,13752,8301,10716,12829,16390,13155,17430,18660,14290,7984,8090,10657
"Nabp1",11687.295523377,-0.54214013265294,0.262375906329552,0.00319186099530487,0.0213215285300515,13646,6480,10063,9728,17466,8345,16608,21775,13918,7414,6336,8771
"Myo1b",15936.6951668369,-0.491002277629109,0.210126281696939,0.00219686927833168,0.0160845502434836,19210,9350,12251,14816,22656,13828,22885,21393,18724,9599,11333,14661
"Gm31812",64.7341814253405,0.953862391954665,0.359659044859276,0.000143736941191584,0.00187906478793412,44,57,100,127,21,30,30,44,32,96,128,104
"Gls",24001.555227718,-0.780288043612955,0.189830773671037,8.7420842729464e-07,2.51803248790403e-05,27547,14175,19002,22372,32740,25194,32964,37805,27008,14947,16575,17663
"Nemp2",1221.25675180591,0.381762587471199,0.154116810245465,0.00331451019773176,0.0219595463937558,838,1076,1490,1948,1070,947,1117,1219,960,1335,1408,1597
"1700019D03Rik",102.629065391801,1.72799645080633,0.417374248791843,3.32798801609525e-07,1.10945279347379e-05,30,107,126,220,52,38,56,56,40,106,144,315
"Pgap1",2354.13028592791,-1.03183764794655,0.310049242009843,1.47438451150182e-05,0.000287861907092007,3569,1070,1795,1456,3162,2783,3340,4023,2966,927,963,1839
"Hspd1",91097.6139793671,-0.45612270906615,0.153163670795645,0.00043107592662928,0.00452187649099018,94889,56334,74069,97296,104629,109702,108866,127292,89002,73724,71563,94393
"Mars2",2798.55267298817,-0.293989422040755,0.121867251768,0.00710568060775504,0.0393137247134605,3018,1864,2884,3025,2968,2905,3031,4109,2463,2920,2259,2592
"Sgo2a",8837.18253417885,-0.626149904969446,0.356554613186885,0.00435847984800542,0.0270473406134435,11518,4673,8903,5859,12208,8296,12934,15756,10959,2929,4815,6052
"Aox1",1090.46507787091,0.510384913000937,0.26139571436436,0.00505069331799298,0.0303722363593332,760,762,2204,1256,747,816,697,1521,667,1274,902,1816
"Aox4",10.4341801792021,1.61008213396496,0.907294989674515,0.000141452044917091,0.00186196354668329,0,12,25,10,9,2,4,6,2,30,11,20
"Bzw1",49259.1420950199,-0.447228524713763,0.135710586382377,0.000158375118271689,0.00202821883706505,52658,31250,42282,53949,60357,50559,61990,67350,51473,39934,38902,44223
"Fam126b",1958.74992679388,-1.14039720763469,0.309731137500491,3.94385192763149e-06,9.36564338284311e-05,2830,804,1369,1015,2603,2658,2918,3490,2339,695,883,1613
"Als2",6016.75266725572,-0.252112708788492,0.0832753838746776,0.00143821342871208,0.0116529742606892,5934,4023,5513,7271,5988,6455,6417,8209,5260,6850,5650,5979
"Nop58",40815.5636248689,-0.444299244691271,0.218163344419048,0.00636064968734357,0.0361453830064789,45504,25261,39563,41422,50708,36785,53828,63614,44555,24738,31622,33609
"Gm26287",19.6376262159764,-1.40621692055683,0.616880114888895,0.000133667664578265,0.00179326759983471,29,8,8,10,24,28,23,55,24,3,8,15
"Bmpr2",18079.2930799021,-0.673989994011169,0.301817476184069,0.00107537561729187,0.00931359676723576,22946,9765,14557,14401,21509,23128,24134,29850,20984,8564,7675,18244
"Fam117b",7282.36125290802,-0.579017717896903,0.174139788981114,5.3498333985617e-05,0.000835921434682864,8708,4444,5101,7494,7032,10530,8664,10039,6883,7612,4436,7263
"Nbeal1",2430.32022971123,-0.892353288556587,0.417265214486832,0.000683207087366871,0.00651782047997994,3120,816,1555,1125,3571,3488,3369,4805,2974,606,826,2594
"Raph1",5614.91710845379,-0.493565670511428,0.173459560533784,0.000495631134555097,0.00505244981063968,6960,3368,5378,5620,5677,6158,6458,9470,5442,4984,3248,5302
"Creb1",7629.83748913843,-0.921704924521578,0.301974513925604,4.27369369762818e-05,0.000695229504620367,9472,3863,5534,5289,10398,9523,10807,12968,9254,2985,4070,6578
"Ccnyl1",6142.40712700608,-0.287657393958666,0.107145023762924,0.00345304803687902,0.0227337407489219,5597,4422,5523,7878,6736,5931,7179,8493,5818,6205,5865,5269
"Fzd5",2153.04201916061,-1.43729132993586,0.18942897514395,1.37447942855088e-15,2.10375614140755e-13,3386,765,1494,1217,2554,3472,3013,4207,2293,1288,678,1343
"Crygc",37.8732529645279,1.22179960038581,0.56370888756928,0.000272841099750678,0.00315391676994045,28,42,62,72,1,16,8,11,13,83,62,80
"Crygb",7.88505324302574,0.652858418425972,0.712076981037175,0.00856750524856365,0.0453094621833875,1,7,10,17,0,6,6,1,3,18,9,23
