"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Rgs20:XM_036152522.1-6","Rgs20","XM_036152522.1-6",1034.35263545531,0.00227312128287975,19.0174040291827,1.29531597839815e-05,0.00477462417543988,44.8410833133394,40.5147809509893,-0.318316690028952,1141,900,941,1149,1038,1119
"St18:NR_045188.1-24","St18","NR_045188.1-24",47.3673063217187,0.00989899634171797,12.1158288712805,0.000499956101606979,0.0636628760224119,8.54995201962666,6.28229149087062,-0.891619890084619,81,13,83,90,6,10
"St18:XM_036164681.1-23","St18","XM_036164681.1-23",47.3673063217187,0.00989899634171797,12.1158288712805,0.000499956101606979,0.0636628760224119,8.54995201962666,6.28229149087062,-0.891619890084618,81,13,83,90,6,10
"St18:XM_006495502.5-23","St18","XM_006495502.5-23",47.1862201967283,0.00960048923868336,12.0538968853975,0.00051684223270933,0.0650005966886566,8.53209266211374,6.28169760890447,-0.885838328407313,81,13,82,90,6,10
"Cspp1:XR_004941385.1-1","Cspp1","XR_004941385.1-1",101.412743049774,0.019374353476843,11.2796428702726,0.000783616296509826,0.0841987813547613,11.9967195399074,15.9743839917969,0.834066199895949,101,90,103,136,86,101
"Cspp1:XM_006495485.4-1","Cspp1","XM_006495485.4-1",92.8916729131931,0.0152486042387501,13.9891911239014,0.000183864590790974,0.03247556770791,11.4129068785353,15.3707046614563,0.866491076616308,95,85,92,120,75,96
"Cspp1:NM_026493.3-1","Cspp1","NM_026493.3-1",80.3531647810906,0.00925906224176768,15.313578127712,9.1059637617532e-05,0.0197557101310532,10.6920822039247,14.0862689712218,0.801411284602535,89,76,77,103,56,83
"Il17f:XM_006495523.2-1","Il17f","XM_006495523.2-1",12.5225297944047,0.031840470505559,13.4530821943044,0.00024460400317367,0.039570369331642,6.0868789876983,3.35415058510011,-1.72132819710302,25,5,17,14,10,4
"Gsta3:XM_030248789.1-4","Gsta3","XM_030248789.1-4",70.6751751094651,0.0115334713218971,17.843003168538,2.39899743368526e-05,0.00739232891604397,7.43393802396494,11.0394553756059,1.14563072322964,14,130,18,12,123,134
"Bag2:NM_145392.2-3","Bag2","NM_145392.2-3",4612.90593459468,0.000731117789722138,17.3549353090424,3.10091957722511e-05,0.00887556052631739,79.9493580089756,81.6338950261886,0.078224243993235,3582,5239,4092,7208,4959,3471
"Zfp451:XR_865290.4-4","Zfp451","XR_865290.4-4",496.68782516408,0.0019741694766004,14.1300926275996,0.000170592783378435,0.0308924923576915,29.3793960407962,30.9071404776589,0.152704659925359,512,472,436,550,465,575
