"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm26206",0,NA,NA,NA,NA
"Xkr4",0,NA,NA,NA,NA
"LOC118567655",0.174161455744038,0.00282859782859898,0.15026101768121,0.833186714575572,NA
"Rp1",0.175682228687793,0.00283488328410297,0.150261243365738,0.833186714575572,NA
"Sox17",0,NA,NA,NA,NA
"Gm22307",1.86975649868732,-0.00119957489462352,0.149855232316665,0.913112043149164,NA
"Gm37323",4.397216841003,-0.00283424709709078,0.149691875889391,0.831386263373987,NA
"Gm39586",0,NA,NA,NA,NA
"Gm46082",6.25693478624818,0.00126377116297875,0.14876186308417,0.954632966480969,NA
"Gm29874",0,NA,NA,NA,NA
"Mrpl15",30899.5665329192,-0.0566731502924978,0.084386986453577,0.41681039136992,0.751402344397682
"Lypla1",27129.3814017586,-0.0890645723852211,0.0831868963518365,0.202701283549529,0.557502725458227
"LOC118567656",43.2331099835424,-0.0646002353865948,0.157767593149097,0.231969156794935,0.592816841175808
"Tcea1",70907.6534024725,-0.129120552434283,0.0784670909915345,0.0583622095636669,0.292681834426258
"Rgs20",1542.24390186106,-0.0921088967727685,0.107603129883872,0.243849063804215,0.605667508667226
"Gm16041",0.474570696483526,-0.0016614990921372,0.150193449924806,0.807409993535701,NA
"Atp6v1h",42869.963583768,0.0514258593405261,0.0759631791126335,0.413203075169235,0.749554342311658
"Oprk1",0.174161455744038,0.00282859782859898,0.15026101768121,0.833186714575572,NA
"Npbwr1",21.3821315792329,-0.00210381489707878,0.15001760520788,0.809087147811265,0.94633001112237
"Gm46206",3.81240089356097,0.00353679725679277,0.149459801306111,0.828041771625244,NA
"Rb1cc1",16897.4042887389,0.0114569411305511,0.0782682447155423,0.873073630903604,0.967081019990454
"Alkal1",0,NA,NA,NA,NA
"St18",184.472216635673,0.0229458878465931,0.150796760819374,0.355199297888243,0.70502061262348
"Pcmtd1",8959.16972480442,0.0961404154167045,0.109396935156254,0.230243151153218,0.590890578467641
"Gm23274",0,NA,NA,NA,NA
"Gm26901",81.2529846659767,-0.0968318806191565,0.171978796788162,0.150015991319959,0.481538557107791
"Gm39589",0,NA,NA,NA,NA
"Sntg1",0,NA,NA,NA,NA
"Gm30719",0.340155619243818,-0.00366033290492041,0.150299353368239,0.629893940861237,NA
"Gm24765",0,NA,NA,NA,NA
"Rrs1",36353.956980138,0.0833202958129658,0.0960810588853613,0.270702870266949,0.634369131335296
"Adhfe1",109.075210991696,0.0177931632690622,0.136538247443029,0.765878231722301,0.932768211288576
"2610203C22Rik",963.567381028269,0.19481443010312,0.111923138174129,0.0245706845214484,0.173533484895188
"Vxn",2.76600624545086,-0.0118245642823182,0.150522029268188,0.320883173816325,NA
"Mybl1",15088.5703018846,-0.129243472331889,0.0958618704166928,0.0933544417200427,0.378398745846476
"Vcpip1",28579.9826608654,0.03146065774914,0.0769238780273934,0.604935893093821,0.86242137292835
"1700034P13Rik",51.7290104331973,-0.00262105807765419,0.143228910816544,0.949458632437172,0.987238969753864
"Gm39590",16.6549154392649,0.0298972647191108,0.153454986967676,0.135114493292511,0.456185911974844
"Sgk3",1.07252955115619,-0.00306616873535447,0.150107278913591,0.699749609598966,NA
"Gm6195",6.98350919531224,-0.00425423921498792,0.148947936148761,0.832803199526901,0.954579868238296
"Mcmdc2",0.340155619243818,-0.00366033290492041,0.150299353368239,0.629893940861237,NA
"Snhg6",5581.49275377726,-0.0460717550440729,0.11681095736254,0.546329709445873,0.834192356435673
"Snord87",185.752084653899,-0.00200626927779512,0.128061019000716,0.974340519237755,0.994615774403962
"Tcf24",11.3617500445651,0.00825784999001166,0.148654889548232,0.731205874996523,0.92030105209244
"Ppp1r42",40.3434812805441,-0.00120284048118101,0.14605721197207,0.969281211174388,0.993845300044049
"LOC115487608",0.403245231719125,0.00371078297488895,0.1503005694602,0.598338808372456,NA
"Cops5",39952.9061134988,-0.0309669999842661,0.07365922331039,0.600743265814189,0.860232321590843
"Cspp1",5962.00496486989,0.0645658271853044,0.106586968760696,0.40754114568529,0.744421921789003
"Arfgef1",39891.980432918,-0.0650718541054214,0.0938470727025647,0.402580337095077,0.740814292208893
