"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"LOC115487084",101.374831663522,-0.85760362268689,0.571062730206267,0.000638660954248635,0.0233185928308414,68,110,30,175,196,62,106,39,131,69,121,106
"1700001G17Rik",357.015042327627,-0.567752085013477,0.395521660792701,0.00120117435837619,0.03671636314984,302,281,182,447,564,285,453,183,408,389,474,331
"4930568A12Rik",22.1591449557985,-1.39567052532869,0.984916014271061,0.000165765699498553,0.00860381423956723,0,33,20,76,10,4,16,2,12,32,54,24
"Cnnm4",10315.782728471,-0.357627942084171,0.0922592855490042,1.49879006116713e-05,0.0013844990657539,7276,9776,9528,17239,9900,7313,11041,10120,9140,12873,13204,9460
"Vwa3b",1206.29971800779,1.58138362381329,0.20921619672643,3.87919440712623e-15,6.25714057869461e-12,1228,542,1864,1057,410,1874,690,2313,466,2215,622,1792
"LOC118567737",22.2173378263802,-0.892888528964968,0.650787543485461,0.000709622965319714,0.025106000949643,8,16,17,39,35,14,30,12,33,12,28,24
"Ecrg4",42.7483241284322,4.49287271901884,0.929576057714784,5.69041664916514e-09,2.05728183993696e-06,54,12,34,4,2,164,3,44,2,62,2,134
"Snord11",29.9840603624478,-1.56556974266448,0.516374494086941,1.52558494032153e-05,0.00139086915711313,14,20,2,57,64,15,48,15,54,14,44,13
"Ica1l",268.942780018946,0.387490825727263,0.228498375016063,0.00142656501805258,0.0410901673949789,245,211,340,288,178,272,212,385,154,398,202,433
"1700039I01Rik",8.88753485446556,2.70095418016001,2.33015706024005,1.8782804614319e-05,0.00162750673536221,20,4,10,12,0,16,0,16,0,6,0,26
"Plekhm3",5375.74867344862,0.425868583960937,0.145656780486865,0.000107235749944582,0.0063211186096187,5185,4207,6392,7075,3636,5370,4119,7000,3429,6960,4865,8027
"Igfbp2",1230.7591153487,0.547894179296705,0.274086979516804,0.000391994338135374,0.0161324867694869,810,884,1493,1391,796,1564,793,1829,660,2147,1348,1601
"Tns1",5730.42884969609,0.737267517437239,0.46744899856198,0.00067704861038619,0.0242338890525304,7664,3274,4765,5532,2307,8872,3761,5001,3142,13763,2595,10525
"Rufy4",344.732590148741,0.985239572851968,0.399226717155382,9.13545698395954e-05,0.00555250427526515,486,166,311,259,147,520,237,377,170,831,130,652
"Cryba2",668.425664195509,-0.385507104733041,0.24446790366138,0.00175212205190929,0.046389201144553,426,720,487,1114,651,401,621,417,527,914,1259,689
"Gm2102",3532.23420997541,-0.505840806862345,0.338251715369269,0.0012387678252889,0.0374191142532692,2262,3534,2167,5430,4315,2687,3859,1920,3417,3343,5411,4515
"LOC108167342",35.6658555449323,-0.723680915935383,0.640185333030404,0.00145581283276376,0.0415898355452634,14,39,74,54,39,10,30,11,28,31,51,50
"Col4a4",22.9231367073217,0.92527825950931,1.47561575695572,0.000354801248745179,0.0150603793217362,8,16,101,23,0,0,0,11,0,44,16,67
"Gm22786",17.2049783911145,-1.21046193636043,0.815887545464834,0.000268841198513602,0.0123085831695016,12,9,5,41,29,3,32,6,33,9,26,4
"Espnl",46.2382266782428,1.2651071398987,0.635302135779844,0.000141042837330512,0.0077496783932873,54,22,82,25,20,50,20,162,22,38,16,63
"9430060I03Rik",269.122886037272,-0.476104290881377,0.327236756580291,0.00146922422511009,0.041633911356201,134,309,150,498,295,166,262,161,195,343,560,248
"Bok",17931.5326210503,0.350821992875667,0.196780504111032,0.0015702379803193,0.0436393477603911,14764,13027,19080,21034,11464,19824,14798,24886,11469,34234,17812,20812
"Gm41934",13.6495948990026,-0.614363312521429,0.97847276021848,0.00139446941284679,0.0407251101921786,2,7,26,18,8,0,6,2,22,11,20,44
"Dyrk3",708.725649126273,0.54370911257548,0.330358917469529,0.000825436203879454,0.0279615250156119,901,518,830,968,358,569,497,1077,444,1435,609,658
"Rassf5",44.2919018556601,2.11612439394482,1.36294342533654,3.70371535865733e-05,0.00271549676068831,112,12,23,40,4,36,4,6,3,212,12,110
"Plekha6",14518.8675128155,0.727036382630581,0.238386235545379,1.87554201515389e-05,0.00162750673536221,18694,7135,12189,11366,9667,23468,12694,22247,10737,21645,6981,20906
