"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Lypla1:1","Lypla1","1",1957.94339845228,0.00016123615353787,14.1312946701667,0.000170483813355682,0.0352942909203034,64.1443392629283,65.4978768755282,0.0633901860187276,1867,1944,1964,2066,2424,1624
"Lypla1:2","Lypla1","2",2353.00791353255,0.000321253768434172,14.0081443581419,0.000182020510406718,0.0368199200056564,69.8286010265262,71.6598463597743,0.0793178009938789,2238,2320,2308,2488,3028,1935
"Lypla1:3","Lypla1","3",2932.51184299246,0.000179697501087299,22.7589316569096,1.836486008602e-06,0.00139497717557449,77.3503684624994,79.4358586283343,0.0825836520395171,2815,2866,2948,3113,3669,2408
"Lypla1:10","Lypla1","10",1957.94339845228,0.00016123615353787,14.1312946701667,0.000170483813355682,0.0352942909203034,64.1443392629454,65.497876875516,0.0633901860173491,1867,1944,1964,2066,2424,1624
"Lypla1:11","Lypla1","11",2353.00791353255,0.000321253768434172,14.0081443581419,0.000182020510406718,0.0368199200056564,69.8286010265262,71.6598463597743,0.0793178009938789,2238,2320,2308,2488,3028,1935
"Lypla1:12","Lypla1","12",2932.51184299246,0.000179697501087299,22.7589316569096,1.836486008602e-06,0.00139497717557449,77.3503684624994,79.4358586283343,0.0825836520395171,2815,2866,2948,3113,3669,2408
"Cspp1:11","Cspp1","11",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:43","Cspp1","43",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:74","Cspp1","74",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:96","Cspp1","96",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:128","Cspp1","128",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:159","Cspp1","159",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:190","Cspp1","190",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:220","Cspp1","220",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:292","Cspp1","292",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:323","Cspp1","323",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:377","Cspp1","377",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:408","Cspp1","408",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:440","Cspp1","440",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:471","Cspp1","471",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:501","Cspp1","501",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:557","Cspp1","557",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:588","Cspp1","588",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:618","Cspp1","618",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:648","Cspp1","648",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:676","Cspp1","676",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:731","Cspp1","731",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Cspp1:760","Cspp1","760",257.219608452134,0.00200867086963253,14.4037318788926,0.000147509691116882,0.031988745312321,22.2535319436548,25.6431204142225,0.412004290642125,263,205,280,232,425,180
"Tram1:1","Tram1","1",4423.37709004597,0.000516898711002366,12.3859450136075,0.000432577648532452,0.0644518344662675,93.1084368209548,96.1570726942221,0.103161379832743,4641,4227,3934,4550,5720,3822
"Tram1:11","Tram1","11",15517.8862956992,0.000406096988799407,19.4105961932082,1.0542052558429e-05,0.005317085690076,163.143998149423,157.205402588072,-0.139340661787188,14070,15876,13609,16996,18320,15038
"Lactb2:3","Lactb2","3",1042.51562579308,0.000352305810617825,14.7800681733052,0.000120805665083922,0.0279498120868964,46.4221085069482,49.2887843137223,0.177824119446676,995,893,1034,978,1712,808
