"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"1","Lypla1","NM_008866.3-1",1960.47906446304,0.000176574486665638,13.9767294354757,0.000185087310636458,0.0301782242732008,62.406279322564,63.5277138781636,0.0552618237925788,1867,1944,1964,2066,2424,1624
"2","Lypla1","NM_008866.3-2",2355.9870365594,0.000342393538186668,13.9995177913728,0.000182857522497499,0.0298859766741166,67.8051159448497,69.3574394146182,0.0711345512206147,2238,2320,2308,2488,3028,1935
"3","Lypla1","NM_008866.3-3",2936.31230249029,0.000195658832135686,22.8487710305742,1.75261358290973e-06,0.00108259518801032,74.9019678556272,76.6675326435846,0.0745127119079498,2815,2866,2948,3113,3669,2408
"4","Rgs20","XM_036152522.1-6",1061.74876825594,0.000877451443838285,13.9402555623159,0.000188713341779974,0.0305295245516488,45.6571123650809,48.5157610250196,0.182657441079062,1141,1030,941,1198,1149,943
"5","Cspp1","XR_004941385.1-11",257.590308566076,0.00190526617801964,16.3062501778813,5.38859233872294e-05,0.0127712229141088,21.8556723863018,25.1390358063504,0.408128715636249,263,205,280,232,425,180
"6","Tram1","NM_028173.5-11",15538.3428363128,0.000437564365165804,18.1575903764337,2.03357264995294e-05,0.00662661752037707,152.170081710456,146.980208307943,-0.140015212682046,14070,15876,13609,16996,18320,15038
"7","Lactb2","XM_006495490.5-3",1043.89859899684,0.000463322253556254,17.3907176760612,3.04308480001596e-05,0.00880591195334347,45.1335770794054,48.3028730253935,0.203989447472068,995,893,1034,978,1712,808
"8","Stau2","XM_006495532.5-13",263.294182094528,0.00235913479355444,18.0205658572246,2.18531326381412e-05,0.00697946840183269,25.3541344118461,21.6601041766173,-0.459185292311009,211,354,205,340,203,260
"9","Stau2","NM_001111272.1-13",263.1235175405,0.00230959737601774,18.1145224129908,2.08008922791472e-05,0.00669092392505376,25.3411528721386,21.6591461934296,-0.457818067500297,211,353,205,340,203,260
"10","Tram2","NM_177409.3-3",70.7100570917698,0.00458986146502613,14.1612759445368,0.000167788453062138,0.028322993198426,11.1453929081196,13.6835996523134,0.593753710433591,68,56,81,70,116,45
"11","LOC118567721","XR_004935838.1-2",502.577861810157,0.00173947471445189,15.217112176136,9.58310986010052e-05,0.0194145728411709,32.5281806203369,32.9551094430469,0.0383990019633007,576,496,409,431,694,446
"12","LOC118567721","XR_004935839.1-1",8.49230352594914,0.0341650964222857,12.6589834633833,0.000373765381206598,0.0475492576020333,5.46626208140145,2.81735228679639,-1.91304001924333,2,12,5,12,5,14
"13","Dst","XM_006495686.5-23",415.328761170226,0.000823500908110302,21.2222066764767,4.08998207315562e-06,0.00211930832936517,27.9431581017107,31.3971163099706,0.341959389130439,452,349,435,315,663,327
"14","Vwa3b","NM_001370828.1-28",63.6358830030286,0.0108885585581744,13.0449084793981,0.000304110019795189,0.0417443915084429,13.3815586189633,10.0146161668393,-0.838469459075899,73,32,70,61,115,43
"15","Eif5b","NM_198303.2-10",11978.8808448591,7.45456803003971e-05,13.5571837296626,0.000231404046716829,0.0347434750912168,135.076427729852,137.349686995649,0.0642725822831505,11094,11829,10268,12687,16737,10457
"16","Eif5b","XM_036164315.1-10",11949.2060624061,7.65415658644088e-05,13.5027324371918,0.000238216328134946,0.0352905839707623,134.942666979888,137.228099482417,0.0646489213001971,11069,11798,10239,12654,16704,10429
"17","Rnf149","XM_036153154.1-1",9681.10546764151,0.000316629036931141,24.9767137845919,5.80269249018045e-07,0.000481439332200049,123.061402187777,127.922998784293,0.143856880986149,8753,10291,9130,10309,12475,7915
"18","Map4k4","XR_001784729.3-13",10220.6632886801,0.000759668263387607,16.3875674046321,5.16227252733845e-05,0.0125629809811962,124.914202748654,131.227109563985,0.184649155124204,9347,9717,9944,10103,15185,8237
"19","Map4k4","XR_001784729.3-33",30511.4833545593,7.25097158414554e-05,14.3401759715906,0.000152573753190681,0.0266345442254702,188.728629176429,186.532237951809,-0.0541038847297024,25740,30005,28870,33690,39745,27445
"20","Map4k4","NM_001252200.1-32",30511.8154462277,7.26081432649818e-05,14.3238248582749,0.0001539046703874,0.0267204226208634,188.729232273379,186.53280418133,-0.0541047373018682,25740,30005,28871,33691,39745,27445
